dance_cat,music_cat,theatre_cat,va_cat,agency_code,year
N,Y,Y,Y,340406,2018
N,Y,N,Y,340416,2018
N,Y,N,Y,340420,2018
N,Y,N,Y,340424,2018
N,Y,N,Y,340426,2018
N,Y,N,Y,340427,2018
N,Y,N,Y,340428,2018
N,Y,N,Y,340430,2018
N,Y,N,Y,340432,2018
N,Y,N,Y,340436,2018
N,Y,N,Y,340440,2018
N,Y,N,Y,340442,2018
N,Y,N,Y,340447,2018
N,Y,N,Y,340448,2018
Y,Y,Y,Y,340452,2018
N,Y,N,Y,340453,2018
Y,Y,Y,Y,340454,2018
N,Y,N,Y,340457,2018
Y,Y,Y,Y,340460,2018
N,Y,N,Y,340462,2018
N,Y,Y,Y,340464,2018
N,Y,N,Y,340472,2018
N,Y,N,Y,340476,2018
Y,Y,N,Y,340480,2018
Y,Y,Y,Y,340486,2018
N,N,N,Y,340488,2018
N,Y,N,Y,340490,2018
Y,Y,Y,Y,340492,2018
N,Y,N,Y,340494,2018
Y,Y,Y,Y,340495,2018
Y,Y,Y,Y,340496,2018
N,Y,N,Y,340504,2018
N,Y,N,Y,340508,2018
N,Y,N,Y,340512,2018
N,Y,N,Y,340514,2018
N,Y,N,Y,340516,2018
N,Y,N,Y,340520,2018
N,Y,N,Y,340528,2018
N,Y,N,Y,340530,2018
N,N,N,Y,340531,2018
N,Y,N,Y,340532,2018
N,Y,N,Y,340536,2018
N,Y,N,Y,340540,2018
Y,Y,Y,Y,340542,2018
N,Y,N,Y,340544,2018
N,Y,N,Y,340548,2018
Y,Y,Y,Y,340556,2018
N,Y,N,Y,340560,2018
N,Y,N,Y,340564,2018
Y,Y,Y,Y,340568,2018
N,Y,Y,Y,34B000,2018
N,Y,Y,N,34D000,2018
N,Y,N,Y,34F000,2018
Y,Y,N,Y,34G000,2018
Y,Y,Y,Y,34H000,2018
N,Y,N,Y,350304,2018
N,Y,N,Y,350308,2018
N,Y,N,Y,350310,2018
N,Y,N,Y,350312,2018
N,Y,N,Y,350316,2018
N,Y,N,Y,350317,2018
N,Y,N,Y,350318,2018
N,Y,Y,Y,350321,2018
N,Y,Y,Y,350324,2018
N,Y,N,Y,350330,2018
N,Y,N,Y,350331,2018
N,Y,N,Y,350332,2018
N,Y,N,Y,350336,2018
N,Y,N,Y,350338,2018
N,Y,N,Y,350339,2018
N,Y,N,Y,350340,2018
N,Y,N,Y,35A000,2018
N,Y,N,Y,35B000,2018
N,Y,Y,Y,360310,2018
N,Y,N,Y,360320,2018
N,Y,N,Y,360324,2018
N,Y,N,Y,360332,2018
N,Y,N,Y,360336,2018
N,Y,N,N,360337,2018
N,Y,N,Y,360338,2018
N,Y,N,Y,360339,2018
N,Y,N,Y,360340,2018
N,Y,N,Y,360344,2018
N,Y,N,Y,360348,2018
N,Y,N,Y,360352,2018
N,Y,N,Y,360360,2018
N,Y,N,Y,360364,2018
N,N,N,Y,360372,2018
N,Y,N,Y,360376,2018
N,Y,Y,Y,360378,2018
N,Y,N,Y,360380,2018
Y,Y,Y,Y,360390,2018
N,Y,N,Y,360392,2018
