year,agency_code,total_nbpts_num,category_code,nbpts_num
2006,340390,7976,E,6
2006,340392,7976,M,3
2006,340396,7976,M,2
2006,340398,7976,A,
2006,340400,7976,E,4
2006,340403,7976,E,2
2006,340406,7976,M,8
2006,340416,7976,E,5
2006,340420,7976,M,2
2006,340424,7976,E,2
2006,340428,7976,E,2
2006,340430,7976,E,2
2006,340432,7976,E,
2006,340436,7976,T,
2006,340440,7976,E,4
2006,340442,7976,M,1
2006,340446,7976,H,
2006,340447,7976,E,1
2006,340448,7976,E,2
2006,340452,7976,M,10
2006,340453,7976,E,5
2006,340454,7976,H,17
2006,340460,7976,H,10
2006,340462,7976,E,1
2006,340464,7976,M,6
2006,340472,7976,E,2
2006,340476,7976,E,6
2006,340480,7976,T,1
2006,340486,7976,H,7
2006,340488,7976,M,
2006,340490,7976,E,4
2006,340492,7976,M,2
2006,340494,7976,E,5
2006,340495,7976,H,7
2006,340496,7976,H,
2006,340504,7976,E,1
2006,340508,7976,E,4
2006,340512,7976,E,1
2006,340516,7976,M,4
2006,340520,7976,E,1
2006,340528,7976,E,2
2006,340530,7976,E,2
2006,340532,7976,E,5
2006,340536,7976,E,11
2006,340540,7976,E,3
2006,340544,7976,M,3
2006,340548,7976,E,6
2006,340556,7976,H,5
2006,340560,7976,E,6
2006,340564,7976,M,3
2006,340568,7976,T,1
2006,340700,7976,H,
2006,340701,7976,H,1
2006,340702,7976,H,
2006,340LEA,7976,A,
2006,340LEA,7976,E,3
2006,340LEA,7976,H,7
2006,340LEA,7976,M,4
2006,340LEA,7976,T,1
2006,34B000,7976,I,
2006,34C000,7976,M,
2006,34D000,7976,A,
2006,34E000,7976,E,
2006,34F000,7976,I,
2006,34G000,7976,E,
2006,350304,7976,E,1
2006,350308,7976,H,1
2006,350310,7976,M,1
2006,350312,7976,M,1
2006,350316,7976,E,1
2006,350318,7976,E,1
2006,350321,7976,H,3
2006,350330,7976,E,1
2006,350332,7976,E,1
2006,350336,7976,H,1
2006,350337,7976,E,
2006,350338,7976,M,1
2006,350339,7976,E,1
2006,350340,7976,E,2
2006,350LEA,7976,E,1
2006,350LEA,7976,H,2
2006,350LEA,7976,M,1
2006,35A000,7976,I,
2006,360310,7976,H,9
2006,360320,7976,E,5
2006,360324,7976,M,4
2006,360332,7976,E,3
2006,360336,7976,H,
2006,360338,7976,E,1
2006,360339,7976,E,2
2006,360340,7976,E,4
2006,360344,7976,E,2
2006,360348,7976,E,
2006,360352,7976,E,5
2006,360360,7976,H,3
2006,360364,7976,E,4
2006,360372,7976,H,
2006,360376,7976,E,1
2006,360380,7976,M,3
2006,360390,7976,H,6
2006,360392,7976,E,2
2006,360394,7976,A,
2006,360396,7976,H,5
2006,360400,7976,E,1
2006,360408,7976,M,3
2006,360418,7976,H,7
2006,360426,7976,M,2
2006,360428,7976,H,5
2006,360430,7976,E,2
2006,360431,7976,M,3
2006,360432,7976,E,1
2006,360436,7976,M,
2006,360438,7976,E,1
2006,360440,7976,E,6
2006,360448,7976,E,
2006,360456,7976,M,6
2006,360460,7976,E,3
2006,360464,7976,E,2
2006,360468,7976,E,1
2006,360470,7976,H,1
2006,360478,7976,E,2
2006,360480,7976,E,
2006,360482,7976,E,4
2006,360484,7976,E,1
2006,360488,7976,E,1
2006,360490,7976,E,7
2006,360492,7976,E,
2006,360494,7976,H,3
2006,360498,7976,M,1
2006,360499,7976,E,1
2006,360500,7976,M,3
2006,360504,7976,E,1
2006,360510,7976,E,8
2006,360514,7976,M,
2006,360520,7976,E,1
2006,360526,7976,M,2
2006,360LEA,7976,A,
2006,360LEA,7976,E,3
2006,360LEA,7976,H,5
2006,360LEA,7976,M,3
2006,36A000,7976,E,
2006,36B000,7976,I,
2006,370304,7976,E,2
2006,370308,7976,M,3
2006,370312,7976,H,3
2006,370316,7976,E,
2006,370324,7976,E,2
2006,370LEA,7976,E,2
2006,370LEA,7976,H,3
2006,370LEA,7976,M,3
2006,380306,7976,E,2
2006,380308,7976,H,9
2006,380310,7976,M,
2006,380LEA,7976,E,2
2006,380LEA,7976,H,9
2006,380LEA,7976,M,
2006,390309,7976,M,1
2006,390311,7976,E,
2006,390312,7976,E,3
2006,390316,7976,E,1
2006,390320,7976,M,
2006,390324,7976,H,7
2006,390332,7976,E,2
2006,390333,7976,E,2
2006,390334,7976,M,3
2006,390336,7976,E,
