digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,year,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
7,Yes,5:06,Yes,5:06,Staff,-,110451,2018,17.7,61.0,1.33,2008.0,0.68,M
-,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110500,2018,,39.0,1.77,,0.84,H
,,,,,,,110LEA,2018,22.49,2519.0,1.38,2003.0,0.88,
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,111302,2018,19.59,95.0,1.06,2000.0,0.77,H
1,Yes,3:04:05,No,-,Staff,-,111304,2018,32.9,29.0,0.91,2006.0,1.02,E
0,Yes,5,No,-,Both,K:1:2:3:4:5,111306,2018,31.69,50.0,1.61,2005.0,1.35,E
1,No,-,No,-,Staff,-,111307,2018,94.19,13.0,3.25,2003.0,1.07,E
0,Yes,5,No,-,Both,K:1:2:3:4:5,111312,2018,26.72,23.0,0.62,2004.0,1.23,E
1,Yes,5,No,-,Both,K:1:2:3:4:5,111332,2018,40.98,18.0,0.55,2002.0,1.25,E
1,Yes,6:07:08,Yes,6:07:08,Both,6:07:08,111356,2018,15.59,93.0,1.45,2007.0,0.65,M
1,Yes,4:05,No,-,Both,3:04:05,111360,2018,34.21,18.0,0.64,2003.0,1.15,E
0,Yes,6,Yes,6,Neither,-,111369,2018,32.96,20.0,2.0,2014.0,0.45,M
5,Yes,9:10:11:12,Yes,9:10:11:12,Both,9:10:11:12,111700,2018,50.25,15.0,1.25,2000.0,0.81,H
,,,,,,,111LEA,2018,29.25,374.0,1.1,2004.0,0.9,
0,No,-,No,-,Both,K:1:2:3:4:5:6:7:8,11A000,2018,23.02,32.0,1.19,2005.0,3.3,I
5,Yes,7:08,Yes,7:08,Staff,-,11B000,2018,18.58,25.0,1.32,2005.0,2.23,I
-,Yes,6:7:8:9:10:11:12,No,-,Staff,-,11C000,2018,,30.0,0.75,,4.51,A
5,No,-,No,-,Both,6:7:8:9:10:11:12,11D000,2018,3.18,14.0,0.42,2015.0,2.14,T
0,No,-,No,-,Both,4:5:6:7:8,11K000,2018,151.01,6.0,0.6,2006.0,2.55,I
3,Yes,K:1:2:3:4:5,No,-,Neither,-,120304,2018,30.54,27.0,1.5,2000.0,0.49,E
5,Yes,6:7:8:9:10:11:12,No,-,Neither,-,120308,2018,48.35,26.0,1.53,2004.0,0.27,T
