year,agency_code,category_code,grade_eoc,avg_size
2006,110308,,01,18
2006,110308,,02,21
2006,110308,,03,16
2006,110308,,04,25
2006,110318,,04,21
2006,110318,,05,22
2006,110320,,00,20
2006,110320,,01,18
2006,110320,,02,21
2006,110320,,03,18
2006,110322,,Biology,16
2006,110322,,English II,16
2006,110322,,Math I,16
2006,110324,,00,18
2006,110324,,01,21
2006,110324,,02,20
2006,110324,,03,19
2006,110324,,04,22
2006,110324,,05,23
2006,110326,,06,26
2006,110326,,07,21
2006,110326,,08,22
2006,110326,,Math I,28
2006,110332,,00,23
2006,110332,,01,19
2006,110332,,02,19
2006,110332,,03,22
2006,110332,,04,20
2006,110332,,05,17
2006,110336,,Biology,22
2006,110336,,English II,21
2006,110336,,Math I,23
2006,110338,,06,20
2006,110338,,07,20
2006,110338,,08,20
2006,110338,,Math I,28
2006,110340,,Biology,24
2006,110340,,English II,19
2006,110340,,Math I,24
2006,110342,,06,25
2006,110342,,07,27
2006,110342,,08,21
2006,110342,,Math I,29
2006,110348,,00,23
2006,110348,,01,18
2006,110348,,02,18
2006,110348,,03,15
2006,110348,,04,20
2006,110348,,05,19
2006,110352,,Biology,22
2006,110352,,English II,24
2006,110352,,Math I,19
2006,110356,,00,20
2006,110356,,01,21
2006,110356,,02,20
2006,110356,,03,22
2006,110356,,04,24
2006,110356,,05,20
2006,110366,,00,20
2006,110366,,01,21
2006,110366,,02,22
2006,110366,,03,20
2006,110366,,04,22
2006,110366,,05,20
2006,110368,,00,21
2006,110368,,01,24
2006,110368,,02,21
2006,110368,,03,21
2006,110368,,04,18
2006,110368,,05,19
2006,110370,,00,17
2006,110370,,01,22
2006,110370,,02,22
2006,110370,,03,19
2006,110370,,04,20
2006,110370,,05,24
2006,110372,,00,23
2006,110372,,01,21
2006,110372,,02,21
2006,110372,,03,15
2006,110372,,04,15
2006,110372,,05,25
2006,110376,,00,20
2006,110376,,01,21
2006,110376,,02,20
2006,110376,,03,21
2006,110376,,04,19
2006,110376,,05,19
2006,110379,,00,21
2006,110379,,01,20
2006,110379,,02,19
2006,110379,,03,17
2006,110379,,04,24
2006,110380,,Biology,24
2006,110380,,English II,22
2006,110380,,Math I,24
2006,110381,,07,18
2006,110381,,08,18
2006,110381,,Math I,29
2006,110382,,05,22
2006,110382,,06,23
2006,110384,,00,21
2006,110384,,01,18
2006,110384,,02,17
2006,110384,,03,16
2006,110384,,04,21
2006,110384,,05,25
2006,110388,,00,16
2006,110388,,01,20
2006,110388,,02,19
2006,110388,,03,20
2006,110388,,04,18
2006,110388,,05,23
2006,110401,,06,25
2006,110401,,07,22
2006,110401,,08,20
2006,110408,,00,19
2006,110408,,01,18
2006,110408,,02,19
2006,110408,,03,22
2006,110408,,04,20
2006,110408,,05,21
2006,110410,,00,23
2006,110410,,01,23
2006,110410,,02,23
2006,110410,,03,20
2006,110410,,04,21
2006,110410,,05,19
2006,110412,,00,19
2006,110412,,01,20
2006,110412,,02,21
2006,110412,,03,19
2006,110412,,04,19
2006,110412,,05,24
2006,110416,,Biology,22
2006,110416,,English II,22
2006,110416,,Math I,24
2006,110420,,06,24
2006,110420,,07,24
2006,110420,,08,25
2006,110420,,Math I,25
2006,110422,,00,17
2006,110422,,01,18
2006,110422,,02,19
2006,110422,,03,19
2006,110422,,04,20
2006,110422,,05,26
2006,110428,,02,17
2006,110428,,03,20
2006,110428,,04,21
2006,110432,,00,21
2006,110432,,01,20
2006,110436,,00,19
2006,110436,,01,21
2006,110436,,02,20
2006,110436,,03,22
2006,110436,,04,19
2006,110436,,05,21
2006,110444,,00,16
2006,110444,,01,21
2006,110444,,02,17
2006,110444,,03,17
2006,110444,,04,17
2006,110444,,05,25
2006,110LEA,,00,20
2006,110LEA,,01,20
2006,110LEA,,02,20
2006,110LEA,,03,19
2006,110LEA,,04,20
2006,110LEA,,05,22
2006,110LEA,,06,24
2006,110LEA,,07,20
2006,110LEA,,08,19
2006,110LEA,,Biology,20
2006,110LEA,,English II,19
2006,110LEA,,Math I,23
2006,111301,,05,20
2006,111301,,06,23
2006,111301,,07,14
2006,111302,,Biology,20
2006,111302,,English II,22
2006,111302,,Math I,18
2006,111304,,00,15
2006,111304,,01,15
2006,111304,,02,15
2006,111304,,03,15
2006,111304,,04,19
2006,111304,,05,16
2006,111306,,00,16
2006,111306,,01,17
2006,111306,,02,15
2006,111306,,03,15
2006,111306,,04,19
2006,111306,,05,21
2006,111312,,00,18
2006,111312,,01,18
2006,111312,,02,21
2006,111312,,03,22
2006,111312,,04,18
2006,111312,,05,18
2006,111332,,00,15
2006,111332,,01,16
2006,111332,,02,15
2006,111332,,03,18
2006,111332,,04,15
2006,111332,,05,17
2006,111356,,06,20
2006,111356,,07,17
2006,111356,,08,15
2006,111356,,Math I,20
2006,111360,,00,17
2006,111360,,01,15
2006,111360,,02,17
2006,111360,,03,17
2006,111360,,04,15
2006,111360,,05,15
2006,111700,,English II,13
2006,111700,,Math I,12
2006,111LEA,,00,16
2006,111LEA,,01,16
2006,111LEA,,02,17
2006,111LEA,,03,17
2006,111LEA,,04,17
2006,111LEA,,05,18
2006,111LEA,,06,22
2006,111LEA,,07,16
2006,111LEA,,08,15
2006,111LEA,,Biology,20
2006,111LEA,,English II,18
2006,111LEA,,Math I,17
2006,11A000,,00,18
2006,11A000,,01,21
2006,11A000,,02,21
2006,11A000,,03,21
2006,11A000,,04,21
2006,11A000,,05,22
2006,11A000,,06,21
2006,11A000,,07,22
2006,11A000,,08,17
2006,11A000,,Math I,9
2006,11B000,,00,15
2006,11B000,,01,15
2006,11B000,,02,16
2006,11B000,,03,19
2006,11B000,,04,19
2006,11B000,,05,19
2006,11B000,,06,22
2006,11B000,,07,18
2006,11B000,,08,12
2006,11B000,,Math I,8
2006,11K000,,00,16
2006,11K000,,01,16
2006,11K000,,02,17
2006,11K000,,03,15
2006,11K000,,04,17
2006,11K000,,05,17
2006,11K000,,06,16
2006,11K000,,07,15
2006,11K000,,08,15
2006,11K000,,Math I,8
2006,120304,,00,17
2006,120304,,01,15
2006,120304,,02,15
2006,120304,,03,13
2006,120304,,04,17
2006,120304,,05,25
2006,120308,,Biology,7
2006,120308,,English II,14
2006,120308,,Math I,3
2006,120312,,00,18
2006,120312,,01,16
2006,120312,,02,16
2006,120312,,Math I,16
2006,120314,,Biology,24
2006,120314,,English II,26
2006,120314,,Math I,25
2006,120315,,06,17
2006,120315,,07,18
2006,120315,,08,21
2006,120315,,Math I,28
2006,120316,,00,20
2006,120316,,01,15
2006,120316,,02,15
2006,120316,,03,17
2006,120316,,04,23
2006,120318,,Biology,23
2006,120318,,English II,24
2006,120318,,Math I,24
2006,120320,,00,20
2006,120320,,01,15
2006,120320,,02,14
2006,120320,,03,13
2006,120320,,04,18
2006,120320,,05,19
2006,120324,,00,20
2006,120324,,01,14
2006,120324,,02,13
2006,120324,,03,14
2006,120324,,04,19
2006,120324,,05,20
2006,120330,,03,13
2006,120330,,04,21
2006,120330,,05,21
2006,120334,,06,20
2006,120334,,07,21
2006,120334,,08,22
2006,120334,,Math I,20
2006,120338,,00,20
2006,120338,,01,13
2006,120338,,02,12
2006,120338,,03,13
2006,120338,,04,19
2006,120338,,05,21
2006,120340,,00,15
2006,120340,,01,14
2006,120340,,03,12
2006,120344,,00,18
2006,120344,,01,15
2006,120344,,02,17
2006,120344,,03,16
2006,120344,,04,18
2006,120344,,05,18
2006,120350,,06,24
2006,120350,,07,21
2006,120350,,08,22
2006,120350,,Math I,19
2006,120356,,00,21
2006,120356,,01,13
2006,120356,,02,15
2006,120356,,03,11
2006,120356,,04,17
2006,120356,,05,15
2006,120360,,00,20
2006,120360,,01,15
2006,120360,,02,14
2006,120360,,03,17
2006,120360,,04,15
2006,120360,,05,22
2006,120364,,00,22
2006,120364,,01,17
2006,120364,,02,17
2006,120364,,03,14
2006,120364,,04,17
2006,120364,,05,20
2006,120368,,00,23
2006,120368,,01,14
2006,120368,,02,15
2006,120368,,03,15
2006,120368,,04,20
2006,120368,,05,22
2006,120372,,00,22
2006,120372,,01,14
2006,120372,,02,16
2006,120372,,03,13
2006,120372,,04,16
2006,120372,,05,20
2006,120374,,00,21
2006,120374,,01,14
2006,120374,,02,12
2006,120374,,03,16
2006,120374,,04,18
2006,120374,,05,19
2006,120376,,06,24
2006,120376,,07,22
2006,120376,,08,22
2006,120376,,Math I,29
2006,120380,,00,19
2006,120380,,01,17
2006,120380,,02,16
2006,120380,,03,16
2006,120380,,04,19
2006,120380,,05,25
2006,120386,,00,18
2006,120386,,01,15
2006,120386,,02,15
2006,120386,,03,14
2006,120386,,04,18
2006,120386,,05,23
2006,120390,,06,19
2006,120390,,07,19
2006,120390,,08,18
2006,120390,,Math I,29
2006,120LEA,,00,20
2006,120LEA,,01,15
2006,120LEA,,02,15
2006,120LEA,,03,14
2006,120LEA,,04,18
2006,120LEA,,05,21
2006,120LEA,,06,21
2006,120LEA,,07,20
2006,120LEA,,08,21
2006,120LEA,,Biology,18
2006,120LEA,,English II,21
2006,120LEA,,Math I,20
2006,12A000,,00,14
