metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,63A000,Charter and Non-District Affiliated Schools,The Academy of Moore County,State Of North Carolina,E,0.065,2.0,,,12367.0,0.104
GCE_ALL,2015,63B000,Charter and Non-District Affiliated Schools,STARS Charter,State Of North Carolina,I,0.196,9.0,,,12367.0,0.104
GCE_ALL,2015,640304,Nash-Rocky Mount Schools,Bailey Elementary,State Of North Carolina,E,0.23,26.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640306,Nash-Rocky Mount Schools,Baskerville Elementary,State Of North Carolina,E,0.101,7.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640308,Nash-Rocky Mount Schools,Benvenue Elementary,State Of North Carolina,E,0.136,14.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640316,Nash-Rocky Mount Schools,Cedar Grove Elementary,State Of North Carolina,E,0.243,9.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640324,Nash-Rocky Mount Schools,Coopers Elementary,State Of North Carolina,E,0.198,20.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640326,Nash-Rocky Mount Schools,D S Johnson Elementary,State Of North Carolina,E,0.188,19.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640328,Nash-Rocky Mount Schools,Englewood Elementary,State Of North Carolina,E,0.1,16.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640332,Nash-Rocky Mount Schools,M B Hubbard Elementary,State Of North Carolina,E,0.159,13.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640336,Nash-Rocky Mount Schools,Middlesex Elementary,State Of North Carolina,E,0.092,6.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640348,Nash-Rocky Mount Schools,Nashville Elementary,State Of North Carolina,E,0.122,15.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640376,Nash-Rocky Mount Schools,Spring Hope Elementary,State Of North Carolina,E,0.291,30.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640384,Nash-Rocky Mount Schools,"Swift Creek Elementary, Whitakers",State Of North Carolina,E,0.149,11.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,640396,Nash-Rocky Mount Schools,Williford Elementary,State Of North Carolina,E,0.119,8.0,194.0,0.162,12367.0,0.104
GCE_ALL,2015,64A000,Charter and Non-District Affiliated Schools,Rocky Mount Preparatory,State Of North Carolina,A,0.0,0.0,,,12367.0,0.104
GCE_ALL,2015,650304,New Hanover County Schools,Bradley Creek Elementary,State Of North Carolina,E,0.247,19.0,214.0,0.105,12367.0,0.104
