year,unit_code,grade,pct_prof,School_Name,Lea_Name,State_Name
2017,260408,9,35.4,Pine Forest High,Cumberland County Schools,State Of North Carolina
2017,260411,9,35.2,Reid Ross Classical High,Cumberland County Schools,State Of North Carolina
2017,260413,6,10.7,Howard Learning Academy,Cumberland County Schools,State Of North Carolina
2017,260417,6,52,New Century International Middle,Cumberland County Schools,State Of North Carolina
2017,260418,6,66.7,Seventy-First Classical Middle,Cumberland County Schools,State Of North Carolina
2017,260419,6,55.8,Reid Ross Classical Middle,Cumberland County Schools,State Of North Carolina
2017,260424,9,17.6,Seventy-First High,Cumberland County Schools,State Of North Carolina
2017,260425,6,41.6,South View Middle,Cumberland County Schools,State Of North Carolina
2017,260427,9,24.3,South View High,Cumberland County Schools,State Of North Carolina
2017,260428,6,28.8,Spring Lake Middle,Cumberland County Schools,State Of North Carolina
2017,260446,9,28.9,Terry Sanford High,Cumberland County Schools,State Of North Carolina
2017,260449,9,0,Ramsey Street High,Cumberland County Schools,State Of North Carolina
2017,260454,6,31.2,Westover Middle,Cumberland County Schools,State Of North Carolina
2017,260455,9,17.7,Westover High,Cumberland County Schools,State Of North Carolina
2017,260700,9,67.7,Cumberland Polytechnic,Cumberland County Schools,State Of North Carolina
2017,26B000,6,54.8,Alpha Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,26B000,9,42.1,Alpha Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,26C000,6,31.6,The Capitol Encore Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,270306,9,40.4,Currituck County High,Currituck County Schools,State Of North Carolina
2017,270308,6,39.5,Currituck County Middle,Currituck County Schools,State Of North Carolina
2017,270311,9,61.4,The JP Knapp ECH (i)School,Currituck County Schools,State Of North Carolina
2017,270318,6,54.7,Moyock Middle,Currituck County Schools,State Of North Carolina
