year,unit_code,pct_eds,School_Name,Lea_Name,State_Name
2017,010364,78.4,North Graham Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010372,56.9,"Pleasant Grove Elementary, Burlington",Alamance-Burlington Schools,State Of North Carolina
2017,010374,71.4,R Homer Andrews Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010378,73.4,Ray Street Academy,Alamance-Burlington Schools,State Of North Carolina
2017,010380,62.0,South Graham Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010384,40.3,South Mebane Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010388,33.9,Southern High,Alamance-Burlington Schools,State Of North Carolina
2017,010390,39.6,"Southern Middle, Graham",Alamance-Burlington Schools,State Of North Carolina
2017,010392,64.5,Sylvan Elementary,Alamance-Burlington Schools,State Of North Carolina
2017,010394,65.9,Turrentine Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010396,53.9,Walter M Williams High,Alamance-Burlington Schools,State Of North Carolina
2017,010400,30.7,Western Alamance High,Alamance-Burlington Schools,State Of North Carolina
2017,010403,35.8,Western Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010406,40.9,Woodlawn Middle,Alamance-Burlington Schools,State Of North Carolina
2017,010LEA,53.7,,Alamance-Burlington Schools,State Of North Carolina
2017,01B000,23.1,River Mill Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01C000,28.4,Clover Garden,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,01D000,7.8,The Hawbridge School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,020302,42.2,Alexander Central High,Alexander County Schools,State Of North Carolina
