digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
16,510310,M,No,-,No,-,Yes,5:6:7:8,24.04,47,1.31,2004.0,0.56
1,510324,H,No,-,No,-,No,-,6.3,113,1.16,1999.0,1.04
-,510325,H,No,-,No,-,Yes,9:10:11:12:13,,9,3.0,,0.57
1,510326,E,No,-,No,-,No,-,18.24,66,1.06,2001.0,0.96
1,510327,H,No,-,No,-,No,-,7.74,96,1.48,2006.0,1.05
1,510328,E,Yes,2:3:4:5,No,-,Yes,5,27.39,63,1.21,2000.0,0.83
2,510329,M,Yes,06:07:08,No,-,Yes,06:07:08,9.74,67,1.18,2004.0,0.85
2,510330,E,Yes,K:1:2:3:4:5,No,-,No,-,11.95,48,1.02,2001.0,0.61
1,510332,E,Yes,03:04:05,No,-,No,-,14.33,50,1.25,2004.0,0.63
16,510333,H,No,-,No,-,No,-,8.08,89,0.93,2006.0,1.32
1,510334,E,Yes,1:2:3:4:5,No,-,Yes,1:2:3:4:5,17.48,49,1.26,2005.0,0.96
1,510336,E,No,-,No,-,Yes,2:3:4:5,17.48,48,1.14,2007.0,1.11
1,510340,E,Yes,03:04:05,No,-,No,-,16.03,84,1.05,2004.0,0.58
2,510342,M,Yes,06:07:08,No,-,No,-,18.08,44,1.26,2006.0,0.65
2,510343,E,Yes,K:1:2:3:4:5,No,-,No,-,35.12,43,1.23,2010.0,0.7
1,510344,M,No,-,Yes,06:07:08,No,-,12.57,49,1.36,2001.0,0.45
12,510356,E,Yes,2:3:4:5,No,-,No,-,12.55,47,1.12,2007.0,0.69
100,510357,,No,-,No,-,Yes,11:12:00,,3,1.5,2017.0,0.31
1,510358,E,No,-,No,-,No,-,24.51,57,1.02,1999.0,0.98
1,510359,M,No,-,No,-,No,-,13.83,55,1.34,2005.0,0.64
10,510360,I,No,-,No,-,No,-,30.67,51,1.13,2003.0,0.62
1,510364,M,No,-,No,-,Yes,06:07:08,11.14,66,1.32,2005.0,0.78
-,510367,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,5,0.45,,0.57
1,510368,H,No,-,No,-,Yes,9:10:11:12,12.15,73,1.22,1994.0,0.71
1,510372,E,Yes,K:1:2:3:4:5,Yes,03:04:05,No,-,28.67,48,1.17,2003.0,0.43
1,510373,E,Yes,03:04:05,No,-,Yes,K:1:2:3:4:5,18.87,73,1.66,2006.0,0.9
1,510374,E,Yes,04:05:00,No,-,No,-,14.31,60,1.22,2004.0,0.94
2,510376,T,No,-,No,-,No,-,8.33,79,1.16,2001.0,0.9
6,510377,E,No,-,No,-,Yes,5,12.17,69,1.1,2003.0,1.4
1,510378,E,No,-,No,-,Yes,03:04:05,18.27,61,1.3,2005.0,1.36
2,510379,M,No,-,No,-,Yes,06:07:08,9.45,70,1.06,2004.0,0.95
5,510382,M,Yes,6,No,-,Yes,6,11.16,11,0.92,2005.0,0.45
2,510388,E,Yes,02:03:04,No,-,No,-,22.84,84,1.56,2004.0,0.44
2,510390,M,Yes,5:6:7:8,No,-,No,-,18.43,52,1.16,2003.0,0.48
2,510396,E,No,-,No,-,No,-,17.68,50,1.32,2004.0,0.95
1,510397,M,Yes,06:07:08,No,-,No,-,18.12,60,1.46,2004.0,0.42
1,510399,H,No,-,No,-,Yes,9:10:11:12,9.49,98,1.23,2002.0,0.58
2,510402,H,No,-,No,-,Yes,9:10:11:12,6.51,99,1.13,2004.0,0.65
1,510404,E,Yes,K:1:2:3:4:5,No,-,No,-,33.77,51,1.24,1999.0,0.63
6,510406,H,No,-,No,-,No,-,12.83,107,1.3,2002.0,0.97
1,510408,E,Yes,2:3:4:5,No,-,No,-,19.66,53,1.18,2005.0,0.66
1,510410,E,No,-,No,-,Yes,04:05:00,10.48,73,1.03,2006.0,1.3
9,510411,M,Yes,06:07:08,No,-,No,-,19.53,49,1.17,2012.0,0.6
1,510412,M,No,-,No,-,No,-,21.01,58,1.18,2001.0,0.73
2,510414,E,No,-,No,-,Yes,03:04:05,11.82,65,1.18,2004.0,0.98
,510LEA,,,,,,,,14.49,"2,7",1.19,2004.0,0.77
1,51A000,A,No,-,No,-,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,4.87,53,0.98,2004.0,3.87
20,51B000,I,No,-,No,-,No,-,5.67,40,1.6,2018.0,2.13
10,520304,E,No,-,No,-,No,-,52.13,20,1.43,1994.0,1.21
5,520308,E,No,-,No,-,No,-,43.97,25,2.27,1995.0,0.86
0,520320,H,Yes,9:10:11:12,Yes,09:10:12,No,-,21.61,44,1.33,1993.0,0.67
5,520324,M,No,-,No,-,No,-,37.47,34,2.0,1999.0,0.59
5,520328,E,No,-,No,-,No,-,60.99,21,1.5,1993.0,0.74
0,520336,E,No,-,No,-,No,-,39.48,25,1.25,1999.0,0.77
,520LEA,,,,,,,,39.19,169,1.55,1996.0,0.75
7,530302,E,Yes,03:04:05,No,-,Yes,K:1:2:4:5,14.88,46,1.07,1995.0,0.99
0,530306,T,Yes,6:7:8:9:10:11:12,No,-,Yes,6:7:8:9:10:11:12,4.48,12,0.8,2010.0,0.3
1,530308,E,Yes,03:04:05,No,-,No,-,8.53,32,0.78,1999.0,0.94
1,530312,E,No,-,No,-,Yes,03:04:05,15.84,43,1.1,2002.0,0.71
2,530314,M,Yes,06:07:08,Yes,06:07:08,Yes,06:07:08,26.22,47,1.07,2002.0,1.12
2,530316,A,No,-,No,-,No,-,129.22,10,0.77,1999.0,1.35
1,530320,E,Yes,04:05:00,No,-,Yes,03:04:05,17.96,55,1.22,1997.0,0.9
-,530335,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,Yes,9:10:11:12:13,,12,0.86,,0.86
3,530336,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,12.35,83,0.81,2002.0,0.87
1,530340,E,Yes,1:2:3:4:5,No,-,Yes,K:1:2:3:4:5,16.16,38,0.79,2000.0,0.8
3,530341,M,No,-,Yes,06:07:08,Yes,06:07:08,19.01,61,1.11,2004.0,0.71
1,530343,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,12.27,79,1.11,2001.0,0.48
6,530346,E,Yes,03:04:05,No,-,Yes,03:04:05,17.83,38,0.9,2000.0,0.65
1,530354,E,No,-,No,-,Yes,K:1:2:3:4:5,17.48,52,1.33,1997.0,0.7
3,530356,M,No,-,No,-,Yes,06:07:08,23.42,60,1.3,1998.0,0.51
-,530358,E,No,-,No,-,No,-,,9,0.69,,0.09
,530LEA,,,,,,,,17.01,677,1.01,2000.0,0.51
,53B000,M,,,,,,,,,,,-
1,540304,E,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,Yes,K:1:2:3:4:5,19.73,43,1.05,1996.0,0.91
1,540308,I,Yes,K:1:2:3:4:5:6:7:8,Yes,K:1:2:3:4:5:6:7:8,Yes,K:1:2:3:4:5:6:7:8,17.65,57,1.02,1998.0,0.88
