agency_code,target_list_ltg_detail,subgroup_list_ltg_detail
130345,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,SWD,WH7"
130346,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
130349,Reading Grade 10,ALL
130350,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10",ALL
130355,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
132304,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
132308,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
132312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,WH7"
132314,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
132328,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
132330,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
132332,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
132336,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
13A000,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
13B000,"Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
13C000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD"
13D000,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,SWD,WH7"
140304,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
140305,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
140306,"Math Grades 3-8,Reading Grades 3-8",ALL
140307,,
140308,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
140309,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
140312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
140316,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
140324,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
140332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
