agency_code,lp_school,rlp_school,clpc_school
340556,N,N,N
340560,N,N,N
340564,N,N,N
340568,Y,Y,N
340LEA,,,
34B000,N,N,N
34D000,Y,N,Y
34F000,Y,N,N
34G000,N,N,N
34H000,N,N,N
34Z000,Y,N,N
350304,N,N,N
350308,N,N,N
350310,N,N,N
350312,N,N,N
350316,N,N,N
350317,N,N,N
350318,N,N,N
350321,N,N,N
350324,N,N,N
350330,N,N,N
350331,N,N,N
350332,N,N,N
350336,N,N,N
350338,N,N,N
350339,N,N,N
350340,N,N,N
350LEA,,,
35A000,N,N,N
35B000,N,N,N
360310,N,N,N
360320,N,N,N
360324,N,N,N
360332,Y,Y,N
360336,Y,N,N
360337,N,N,N
360338,N,N,N
360339,N,N,N
360340,Y,Y,N
360344,N,N,N
360348,N,N,N
360352,N,N,N
360360,N,N,N
360364,N,N,N
360372,N,N,N
360376,N,N,N
360378,N,N,N
360380,N,N,N
360390,N,N,N
360392,Y,Y,N
360394,N,N,N
360396,N,N,N
360400,N,N,N
360408,Y,N,N
360418,N,N,N
360420,N,N,N
360426,N,N,N
360428,N,N,N
360430,N,N,N
360431,N,N,N
360432,N,N,N
360436,N,N,N
360438,Y,N,N
360440,N,N,N
360448,N,N,N
360456,N,N,N
360464,N,N,N
360468,N,N,N
360470,N,N,N
360478,N,N,N
360480,Y,N,N
360482,N,N,N
360488,N,N,N
360490,Y,Y,N
360492,Y,Y,N
360494,N,N,N
360498,N,N,N
360499,N,N,N
360500,N,N,N
360504,N,N,N
360510,N,N,N
360514,N,N,N
360520,Y,Y,N
360526,Y,Y,N
360550,N,N,N
360LEA,,,
36B000,N,N,N
36C000,N,N,N
370304,N,N,N
370308,N,N,N
370312,N,N,N
370316,N,N,N
370324,Y,N,N
370LEA,,,
380306,N,N,N
380308,N,N,N
380310,N,N,N
380LEA,,,
390309,Y,Y,N
390311,Y,N,N
390312,Y,N,N
390314,N,N,N
390316,Y,Y,N
390320,N,N,N
390321,Y,N,N
390322,N,N,N
390323,N,N,N
390324,N,N,N
390331,Y,Y,N
390333,N,N,N
390334,Y,Y,N
390336,N,N,N
390352,N,N,N
390360,Y,N,N
390362,N,N,N
390364,Y,Y,N
390368,N,N,N
390700,N,N,N
390LEA,,,
39A000,N,N,N
39B000,N,N,N
400308,N,N,N
400312,Y,Y,N
400315,N,N,N
400318,N,N,N
400321,N,N,N
400332,Y,Y,N
400LEA,,,
410304,N,N,N
410307,Y,Y,N
410310,Y,Y,N
410311,N,N,N
410313,Y,Y,N
410316,Y,Y,N
410319,N,N,N
410322,N,N,N
410325,Y,Y,N
410326,N,N,N
410328,Y,Y,N
410331,Y,Y,N
410334,Y,Y,N
410337,N,N,N
410340,N,Y,N
410341,N,N,N
410343,N,N,N
410346,N,N,N
410349,Y,Y,N
410355,N,N,N
410358,N,N,N
410361,N,N,N
410364,N,Y,N
410366,Y,Y,N
410367,Y,Y,N
410370,N,N,N
410373,Y,Y,N
410376,Y,Y,N
410379,N,N,N
410382,N,N,N
410385,Y,Y,N
410388,N,N,N
410390,N,N,N
410391,N,N,N
410394,N,N,N
410395,N,N,N
410397,Y,Y,N
410398,N,N,N
410399,N,N,N
410400,N,N,N
410401,N,N,N
410402,Y,Y,N
410403,N,Y,N
410406,N,N,N
410407,N,N,N
410408,N,N,N
410409,N,N,N
410412,N,Y,N
410415,Y,Y,N
410418,N,N,N
410421,N,N,N
410423,N,N,N
410424,N,N,N
410427,N,Y,N
410430,N,N,N
410436,N,Y,N
410437,N,N,N
410439,Y,Y,N
410442,N,N,N
410448,N,N,N
410451,N,N,N
410454,N,Y,N
410457,N,N,N
410458,N,N,N
410460,Y,Y,N
410461,N,N,N
410462,Y,Y,N
410463,N,N,N
410464,N,N,N
410466,N,N,N
410469,Y,Y,N
410472,N,N,N
410478,Y,Y,N
410481,N,N,N
410483,N,N,N
410484,N,N,N
410486,N,N,N
410487,N,Y,N
410488,N,N,N
410489,N,N,N
410490,N,N,N
410491,N,N,N
410493,N,N,N
410496,Y,Y,N
410499,N,N,N
410502,N,N,N
410505,Y,Y,N
410508,N,N,N
410511,Y,Y,N
410514,Y,Y,N
410517,Y,Y,N
410522,N,N,N
410523,N,N,N
410529,N,N,N
410530,Y,Y,N
410532,Y,Y,N
410533,N,N,N
410534,N,N,N
410535,N,N,N
410538,Y,Y,N
410541,N,N,N
410542,Y,Y,N
410544,Y,Y,N
410545,N,N,N
410547,N,N,N
410550,N,N,N
410553,N,N,N
410556,N,N,N
410559,N,N,N
410562,N,N,N
410565,N,N,N
410568,N,N,N
410569,N,N,N
410571,N,N,N
410574,N,N,N
410577,Y,Y,N
410578,N,N,N
410579,N,N,N
410580,N,N,N
410583,Y,Y,N
410586,N,Y,N
410589,N,N,N
410592,Y,Y,N
410595,N,N,N
410598,Y,Y,N
410LEA,,,
41B000,N,N,N
41C000,N,N,N
41D000,N,N,N
41F000,N,N,N
41G000,N,N,N
41H000,Y,N,N
41J000,N,N,N
41K000,N,N,N
41L000,Y,N,Y
41M000,N,N,N
41N000,Y,N,N
420304,N,N,N
420316,Y,Y,N
420324,Y,Y,N
420328,Y,Y,N
420336,N,N,N
420340,N,Y,N
420346,N,Y,N
420348,N,N,N
420358,Y,Y,N
420376,Y,Y,N
420LEA,,,
421304,N,N,N
421306,N,N,N
421316,N,N,N
421328,N,N,N
421336,N,N,N
421LEA,,,
422310,N,N,N
422314,Y,Y,N
422315,Y,Y,N
422318,Y,N,N
422LEA,,,
42A000,Y,N,Y
430304,N,N,N
430308,N,N,N
430312,N,N,N
430316,Y,Y,N
430320,N,N,N
430328,N,N,N
430330,N,N,N
430332,Y,Y,N
430336,Y,N,N
430340,N,N,N
430341,N,N,N
430344,N,N,N
430345,N,N,N
430346,N,N,N
430347,Y,Y,N
430348,N,N,N
430349,N,N,N
430351,N,N,N
430352,N,N,N
430358,N,N,N
430368,N,N,N
430369,N,N,N
430370,N,N,N
430371,N,N,N
430376,Y,Y,N
430378,N,N,N
430380,Y,Y,N
430384,N,N,N
430386,N,N,N
430LEA,,,
43C000,N,N,N
440314,N,N,N
440318,N,N,N
440320,N,N,N
440326,N,N,N
440328,N,N,N
440332,N,N,N
440346,N,N,N
440348,N,N,N
440349,N,N,N
440350,N,N,N
440364,N,N,N
440368,N,N,N
440378,N,N,N
440390,N,N,N
440396,N,N,N
440LEA,,,
44A000,N,N,N
450301,N,N,N
450302,N,N,N
450306,N,N,N
450307,N,N,N
450308,N,N,N
450316,N,N,N
450322,N,N,N
450324,N,N,N
450328,N,N,N
450332,N,N,N
450333,N,N,N
450334,N,N,N
450335,N,N,N
450336,N,N,N
450339,N,N,N
450340,N,N,N
450341,N,N,N
450342,N,N,N
450343,N,N,N
450344,N,N,N
450346,N,N,N
450352,N,N,N
450354,N,N,N
450LEA,,,
45A000,N,N,N
45B000,N,N,N
460308,Y,Y,N
460312,N,N,N
460318,N,Y,N
460320,Y,N,N
460322,N,N,N
460332,Y,Y,N
460340,N,N,N
460LEA,,,
470310,N,N,N
470312,N,N,N
470316,N,N,N
470320,N,Y,N
470328,N,N,N
470330,N,N,N
470332,Y,Y,N
470336,N,N,N
470340,N,N,N
470342,N,N,N
470346,N,N,N
470441,N,N,N
470442,N,N,N
470443,N,N,N
470LEA,,,
480306,Y,N,N
480316,N,N,N
480318,N,N,N
480LEA,,,
490307,N,N,N
490308,N,N,N
490310,N,N,N
490312,N,N,N
490316,N,N,N
490318,N,N,N
490319,Y,Y,N
490320,N,N,N
490324,N,N,N
490326,N,N,N
490327,N,Y,N
490332,N,N,N
490335,N,N,N
490336,N,N,N
490337,N,N,N
490338,N,N,N
490344,N,N,N
490345,Y,Y,N
490346,N,N,N
490347,N,N,N
490348,N,N,N
490349,N,N,N
490350,N,N,N
490352,Y,Y,N
490354,Y,Y,N
490355,N,N,N
490356,N,N,N
490360,N,N,N
490362,N,N,N
490363,N,N,N
490364,N,N,N
490366,Y,N,N
490368,N,N,N
490380,N,N,N
490384,N,N,N
490390,N,N,N
490LEA,,,
491303,N,N,N
491305,N,N,N
491306,N,N,N
491308,N,N,N
491312,N,N,N
491316,N,N,N
491318,N,N,N
491320,N,N,N
491LEA,,,
49B000,N,N,N
49D000,Y,N,Y
49,N,N,N
49F000,N,N,N
49G000,Y,N,Y
500302,Y,N,N
500304,N,N,N
500314,N,N,N
500316,Y,N,N
500323,N,N,N
500324,N,N,N
500332,N,N,N
500337,Y,Y,N
500340,N,N,N
500LEA,,,
50A000,N,N,N
50Z000,Y,N,N
510308,Y,Y,N
510310,Y,Y,N
510324,N,N,N
510325,N,N,N
510326,Y,Y,N
510327,N,N,N
510328,N,N,N
510329,N,N,N
510330,Y,Y,N
510332,Y,Y,N
510333,N,N,N
510334,N,N,N
510336,N,N,N
510340,N,N,N
510342,N,N,N
510343,Y,Y,N
510344,Y,Y,N
510356,N,N,N
510358,N,N,N
510359,N,N,N
510360,N,N,N
510364,N,N,N
510367,N,N,N
510368,N,N,N
510372,N,N,N
510373,N,N,N
510374,N,N,N
510376,N,N,N
510377,N,N,N
510378,N,N,N
510379,N,N,N
510382,N,N,N
510388,N,Y,N
510390,Y,Y,N
510396,Y,Y,N
510397,Y,Y,N
510399,N,N,N
510402,N,N,N
510404,Y,Y,N
510406,N,N,N
510408,Y,Y,N
510410,Y,N,N
510411,N,N,N
510412,Y,Y,N
510414,N,N,N
510LEA,,,
51A000,N,N,N
51B000,N,N,N
520304,N,N,N
520308,N,N,N
520320,N,N,N
520324,N,N,N
520328,N,N,N
520336,N,N,N
520LEA,,,
530302,N,N,N
530306,N,N,N
530308,N,N,N
530312,N,N,N
530314,Y,N,N
530316,N,N,N
530320,N,N,N
530335,N,N,N
530336,N,N,N
530340,N,N,N
530341,N,N,N
530343,N,N,N
530346,N,N,N
530354,N,N,N
530356,Y,N,N
530358,N,N,N
530LEA,,,
53B000,Y,N,N
540304,N,N,N
540308,N,N,N
540312,N,N,N
540315,Y,Y,N
540316,N,N,N
540317,N,N,N
540318,N,N,N
540320,N,N,N
540324,N,Y,N
540325,Y,Y,N
540326,Y,Y,N
540328,N,N,N
540330,Y,Y,N
540336,N,N,N
540338,Y,Y,N
540340,N,N,N
540344,N,N,N
540LEA,,,
54A000,Y,N,Y
550308,N,N,N
550312,Y,N,N
550314,N,N,N
550316,N,N,N
550320,N,N,N
550322,N,N,N
550328,N,N,N
550330,N,N,N
550332,N,N,N
550334,N,N,N
550336,N,N,N
550340,N,N,N
550342,N,N,N
550344,N,N,N
550348,N,N,N
550349,N,N,N
550350,N,N,N
550356,N,N,N
550360,N,N,N
550362,N,N,N
550364,N,N,N
550368,N,N,N
550372,N,N,N
550LEA,,,
55A000,N,N,N
560304,N,N,N
560316,Y,Y,N
560320,N,N,N
560324,N,N,N
560328,N,N,N
560329,N,N,N
560330,N,N,N
560331,N,N,N
560332,N,N,N
560338,N,N,N
560350,N,N,N
560LEA,,,
570306,N,N,N
570312,N,N,N
570317,N,N,N
570318,N,N,N
570319,N,N,N
570320,N,N,N
570LEA,,,
580308,N,N,N
580312,Y,Y,N
580316,Y,Y,N
580324,N,N,N
580344,Y,N,N
