agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
170344,4,8,3,0.2666666806,0.5333333611,0.200000003
180302,3,14,20,0.0810810775,0.3783783913,0.5405405164
180304,1,28,16,0.0222222228,0.6222222447,0.3555555642
180308,6,24,15,0.1333333403,0.5333333611,0.3333333433
180312,2,13,6,0.095238097,0.6190476418,0.2857142985
180316,3,26,7,0.0833333358,0.7222222090000001,0.1944444478
180320,6,24,20,0.1199999973,0.4799999893,0.400000006
180323,1,6,5,0.0833333358,0.5,0.4166666567
180324,0,22,6,0.0,0.7857142687,0.2142857164
180325,0,9,5,0.0,0.6428571343,0.3571428657
180326,2,15,10,0.0740740746,0.555555582,0.3703703582
180332,1,19,5,0.0399999991,0.7599999905,0.200000003
180336,4,19,7,0.1333333403,0.6333333254,0.2333333343
180340,2,39,7,0.0416666679,0.8125,0.1458333284
180342,4,18,7,0.137931034,0.6206896304999999,0.2413793057
180343,2,33,0,0.0571428575,0.9428571463,0.0
180344,0,27,2,0.0,0.9310345054,0.068965517
180346,5,17,6,0.1785714328,0.6071428657,0.2142857164
180348,3,21,26,0.0599999987,0.4199999869,0.5199999809
180352,7,12,5,0.2916666567,0.5,0.2083333284
180356,2,36,7,0.0444444455,0.8000000119,0.1555555612
180360,2,30,6,0.0526315793,0.7894737124,0.1578947306
180364,4,17,8,0.137931034,0.5862069129999999,0.2758620679
180368,0,23,6,0.0,0.7931034565,0.2068965584
180372,2,25,18,0.0444444455,0.555555582,0.400000006
180376,8,30,28,0.1212121248,0.4545454681,0.4242424369
180379,1,24,10,0.0285714287,0.6857143044,0.2857142985
180380,4,24,6,0.1176470593,0.7058823705,0.1764705926
180388,4,27,3,0.1176470593,0.7941176295,0.0882352963
181312,2,22,9,0.0606060624,0.6666666864999999,0.2727272809
181316,9,16,6,0.290322572,0.5161290169,0.1935483813
181318,0,13,3,0.0,0.8125,0.1875
181322,13,31,16,0.2166666687,0.5166666508,0.2666666806
181326,5,17,2,0.2083333284,0.7083333135,0.0833333358
181332,1,14,6,0.0476190485,0.6666666864999999,0.2857142985
181336,6,12,7,0.2399999946,0.4799999893,0.2800000012
181342,0,19,12,0.0,0.6129032373,0.3870967627
181344,2,20,8,0.06666667009999999,0.6666666864999999,0.2666666806
182000,0,0,1,0.0,0.0,1.0
182304,0,4,8,0.0,0.3333333433,0.6666666864999999
182316,3,30,13,0.0652173907,0.6521739364,0.2826086879
182321,12,17,9,0.3157894611,0.4473684132,0.2368421108
182322,4,20,5,0.137931034,0.6896551847,0.1724137962
182324,1,17,6,0.0416666679,0.7083333135,0.25
182328,5,21,5,0.1612903178,0.6774193645000001,0.1612903178
182700,2,8,0,0.200000003,0.8000000119,0.0
190304,1,10,3,0.0714285746,0.7142857313,0.2142857164
190308,0,13,13,0.0,0.5,0.5
190310,0,6,2,0.0,0.75,0.25
190312,8,32,3,0.1860465109,0.7441860437000001,0.06976744530000001
190316,3,23,2,0.1071428582,0.821428597,0.0714285746
190328,5,21,1,0.1851851791,0.7777777909999999,0.0370370373
190332,2,15,0,0.1176470593,0.8823529481999999,0.0
190336,2,41,12,0.0363636352,0.7454545498,0.2181818187
