agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
421316,,10.0,25.0,4.0,,,44.0,47.0,,1.0,19.0,3.0,3.0,1.0,2.0
422310,,,,2.0,,,,,,,1.0,,,,
422315,1.0,13.0,,12.0,,,,7.0,,1.0,,5.0,,1.0,
430345,,1.0,,,,,,,,,,,,,
430346,21.0,40.0,30.0,29.0,2.0,,25.0,9.0,4.0,13.0,16.0,26.0,5.0,,5.0
430371,29.0,51.0,53.0,10.0,,3.0,17.0,33.0,,29.0,4.0,7.0,1.0,,14.0
430378,,94.0,47.0,13.0,,,38.0,33.0,1.0,4.0,13.0,1.0,3.0,,10.0
430384,2.0,41.0,31.0,9.0,,,38.0,17.0,1.0,6.0,7.0,12.0,1.0,,1.0
440326,,7.0,9.0,1.0,,,1.0,4.0,,1.0,,5.0,,,
440346,,,,,,,,,,,,,,,1.0
440378,11.0,56.0,9.0,1.0,,,19.0,3.0,,38.0,1.0,67.0,,24.0,21.0
440390,3.0,37.0,59.0,12.0,,,44.0,,,25.0,2.0,21.0,,9.0,2.0
450316,9.0,20.0,25.0,9.0,,,16.0,24.0,,2.0,3.0,1.0,11.0,9.0,3.0
450334,14.0,7.0,5.0,2.0,,1.0,13.0,5.0,,7.0,,11.0,1.0,,
450341,8.0,23.0,4.0,,,,18.0,18.0,1.0,12.0,3.0,,,1.0,7.0
450343,,7.0,4.0,3.0,,,,10.0,3.0,1.0,14.0,9.0,1.0,2.0,4.0
450352,4.0,38.0,34.0,11.0,,4.0,9.0,44.0,4.0,16.0,3.0,2.0,1.0,6.0,
460320,9.0,15.0,,8.0,,,22.0,20.0,,30.0,11.0,2.0,1.0,,6.0
460322,,,,9.0,,,7.0,,,,4.0,,,,
460340,4.0,,,2.0,,,12.0,,,,1.0,,1.0,,
470312,,33.0,8.0,9.0,1.0,,48.0,14.0,22.0,12.0,17.0,12.0,2.0,,7.0
480316,,,,,,,,,,,,1.0,,,
480318,,8.0,,,,,1.0,1.0,,,,2.0,,1.0,
