agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
970393,,82.5
97D000,25.0,
980317,31.3,
980318,,24.7
980324,60.9,
980336,,33.1
980338,40.3,
980342,,51.0
980380,51.5,
980384,71.5,
980390,33.6,
980397,,66.7
980398,,84.2
98A000,66.3,
98B000,67.1,32.7
990304,41.5,
990308,54.5,
990312,42.9,
990316,43.5,
990320,63.6,
990322,,42.1
990324,47.7,
990326,,28.3
990328,28.9,
990332,,72.5
990336,32.1,
995316,58.3,
995324,51.4,
995330,,38.5
NC-SEA,46.6,40.9
