agency_code,den_aig_elp,den_all_elp,den_as7_elp,den_bl7_elp,den_eds_elp,den_els_elp,den_fem_elp,den_hi7_elp,den_hms_elp,den_male_elp,den_mig_elp,den_mil_elp,den_neds_elp,den_nswd_elp,den_swd_elp,den_wh7_elp,pct_aig_elp,pct_all_elp,pct_as7_elp,pct_bl7_elp,pct_eds_elp,pct_els_elp,pct_fem_elp,pct_hi7_elp,pct_hms_elp,pct_male_elp,pct_mig_elp,pct_mil_elp,pct_neds_elp,pct_nswd_elp,pct_swd_elp,pct_wh7_elp
100338,,52.0,,,50.0,52.0,20.0,49.0,,32.0,,,,43.0,,,,48.1,,,46.0,48.1,55.0,44.9,,43.8,,,,48.8,,
100339,,13.0,,,12.0,13.0,,11.0,,,,,,10.0,,,,23.1,,,25.0,23.1,,27.3,,,,,,30.0,,
100340,,47.0,,,42.0,47.0,22.0,42.0,,25.0,,,,37.0,10.0,,,66.0,,,64.3,66.0,63.6,61.9,,68.0,,,,78.4,20.0,
100342,,20.0,,,19.0,20.0,12.0,19.0,,,,,,15.0,,,,25.0,,,26.3,25.0,33.3,21.1,,,,,,26.7,,
100344,,45.0,,,41.0,45.0,20.0,44.0,,25.0,,,,37.0,,,,33.3,,,34.1,33.3,35.0,34.1,,32.0,,,,35.1,,
100348,,42.0,,,38.0,42.0,19.0,40.0,,23.0,13.0,,,32.0,10.0,,,5.0,,,5.0,5.0,5.3,5.0,,5.0,5.0,,,5.0,5.0,
110304,,22.0,,,17.0,22.0,,16.0,,17.0,,,,17.0,,,,40.9,,,35.3,40.9,,31.3,,35.3,,,,47.1,,
110306,,24.0,,,20.0,24.0,,13.0,,18.0,,,,18.0,,,,29.2,,,35.0,29.2,,15.4,,22.2,,,,38.9,,
110324,,37.0,,,16.0,37.0,16.0,30.0,,21.0,,,21.0,34.0,,,,45.9,,,50.0,45.9,50.0,43.3,,42.9,,,42.9,47.1,,
110332,,24.0,,,21.0,24.0,,20.0,,16.0,,,,17.0,,,,66.7,,,61.9,66.7,,65.0,,62.5,,,,70.6,,
110336,,23.0,,,21.0,23.0,12.0,23.0,,11.0,,,,21.0,,,,34.8,,,38.1,34.8,33.3,34.8,,36.4,,,,33.3,,
110338,,16.0,,,16.0,16.0,,16.0,,10.0,,,,12.0,,,,18.8,,,18.8,18.8,,18.8,,20.0,,,,25.0,,
