agency_code,welcome_url
260408,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260410,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260411,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260412,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260413,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260414,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260415,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260416,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260417,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260418,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260419,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260424,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260425,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260426,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260427,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260428,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260430,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260432,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260434,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260440,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260444,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260446,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260448,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260449,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260450,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260452,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260454,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260455,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260459,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
260700,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
300306,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300308,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300310,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300312,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300314,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300320,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300325,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300326,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300328,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300330,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300336,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
300337,http://davie.k12.nc.us/district/departments/instructional/accountability-and-student-information/state-report-card/
310304,https://www.duplinschools.net/Page/19
310308,https://www.duplinschools.net/Page/19
310330,https://www.duplinschools.net/Page/19
310336,https://www.duplinschools.net/Page/19
310338,https://www.duplinschools.net/Page/19
310344,https://www.duplinschools.net/Page/19
310352,https://www.duplinschools.net/Page/19
310356,https://www.duplinschools.net/Page/19
310360,https://www.duplinschools.net/Page/19
310364,https://www.duplinschools.net/Page/19
310384,https://www.duplinschools.net/Page/19
310388,https://www.duplinschools.net/Page/19
310392,https://www.duplinschools.net/Page/19
320304,https://www.dpsnc.net/DPS-Report-Card-2018
320306,https://www.dpsnc.net/DPS-Report-Card-2018
320308,https://www.dpsnc.net/DPS-Report-Card-2018
320309,https://www.dpsnc.net/DPS-Report-Card-2018
320310,https://www.dpsnc.net/DPS-Report-Card-2018
320312,https://www.dpsnc.net/DPS-Report-Card-2018
320313,https://www.dpsnc.net/DPS-Report-Card-2018
320314,https://www.dpsnc.net/DPS-Report-Card-2018
320315,https://www.dpsnc.net/DPS-Report-Card-2018
320316,https://www.dpsnc.net/DPS-Report-Card-2018
