agency_code,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
491320,1.0,,,0.245,1.0,0.528,0.208,0.472,0.075,,0.0,0.472
491LEA,1.0,,,0.213,1.0,0.52,0.16,0.48,0.067,,0.0,0.56
500314,1.0,,0.056,,1.0,0.5,,0.5,0.056,,0.0,0.889
500316,1.0,0.056,,,1.0,0.5,0.222,0.5,,,0.0,0.722
500LEA,1.0,0.028,0.028,,1.0,0.5,0.111,0.5,0.028,,0.0,0.8059999999999999
510308,1.0,,,0.214,1.0,0.5,0.14300000000000002,0.5,,,0.0,0.643
510326,1.0,,0.14300000000000002,,1.0,0.28600000000000003,0.5710000000000001,0.7140000000000001,,,0.0,0.28600000000000003
510328,1.0,,,0.455,1.0,0.364,0.091,0.636,,,0.0,0.455
510330,1.0,,,0.407,1.0,0.481,0.333,0.519,0.037000000000000005,,0.185,0.222
510332,1.0,,,0.1,1.0,0.3,0.4,0.7,,,0.1,0.5
510334,1.0,,,0.25,1.0,0.5,,0.5,0.083,,0.0,0.667
510336,1.0,,,,1.0,0.667,,0.333,,,0.0,1.0
510340,1.0,,,0.118,1.0,0.471,0.235,0.529,,,0.118,0.647
510356,1.0,,,0.14300000000000002,1.0,0.429,0.28600000000000003,0.5710000000000001,,,0.0,0.5710000000000001
510358,1.0,,,,1.0,0.154,0.231,0.846,0.077,,0.0,0.6920000000000001
510372,1.0,,,0.1,1.0,0.55,0.3,0.45,0.05,,0.15,0.55
510373,1.0,,,1.0,1.0,,,1.0,,,0.0,
510374,1.0,,,,1.0,0.5,0.071,0.5,,0.071,0.0,0.857
510377,1.0,,,0.071,1.0,0.35700000000000004,,0.643,0.214,,0.0,0.7140000000000001
510378,1.0,,,,1.0,0.28600000000000003,,0.7140000000000001,,,0.0,1.0
510388,1.0,,,0.179,1.0,0.385,0.667,0.615,0.026,,0.0,0.128
510396,1.0,,,0.25,1.0,0.5,0.625,0.5,,,0.25,0.125
510404,1.0,,,0.217,1.0,0.261,0.522,0.7390000000000001,,,0.0,0.261
510408,1.0,,,0.25,1.0,0.5,0.5,0.5,,,0.5,0.25
