agency_code,pct_AIG_ELP,pct_ALL_ELP,pct_AM7_ELP,pct_AS7_ELP,pct_BL7_ELP,pct_EDS_ELP,pct_ELS_ELP,pct_FCS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_HMS_ELP,pct_MALE_ELP,pct_MIL_ELP,pct_MU7_ELP,pct_SWD_ELP,pct_WH7_ELP
920420,,44.4,,,,47.4,44.4,,50.0,46.5,,40.6,,,,
920424,,20.6,,,,24.1,20.6,,16.7,20.7,,22.7,,,5.0,
920428,,32.8,,,,34.0,32.8,,46.2,32.7,,23.7,,,15.8,
920436,,16.5,,27.3,,18.8,16.5,,19.0,17.3,,14.5,,,6.1,
920439,,80.4,,85.7,,66.7,80.4,,78.3,,,82.1,,,,
920440,,42.3,,33.3,54.3,40.6,42.3,,34.9,35.9,,47.1,,,15.0,46.2
920441,,57.6,,62.7,,57.7,57.6,,62.9,45.5,,54.0,,,5.0,40.0
920442,,33.3,,,,42.9,33.3,,60.0,33.3,,9.1,,,,
920443,,78.4,,82.5,,,78.4,,87.5,,,70.4,,,,
920444,,27.3,,,,,27.3,,,,,,,,,
920445,,43.4,,,,35.2,43.4,,50.0,40.4,,34.4,,,5.0,
920446,,55.2,,,,53.6,55.2,,64.5,55.3,,44.9,,,40.0,
920447,,68.8,,,,,68.8,,,70.0,,,,,,
920448,,62.9,,,,62.1,62.9,,62.5,61.5,,63.2,,,,
920449,,63.6,,,,60.0,63.6,,,57.1,,60.0,,,60.0,
920450,,37.9,,,,41.7,37.9,,10.0,35.0,,52.6,,,18.2,
920451,,29.0,,,,31.0,29.0,,32.1,20.9,,26.8,,,12.5,38.5
920453,,56.3,,,,,56.3,,,50.0,,63.6,,,,
920454,,72.7,,,,,72.7,,,,,,,,,
920455,,28.6,,,,27.3,28.6,,,7.7,,30.8,,,10.0,
920456,,50.0,,,,50.0,50.0,,,57.1,,36.4,,,,
920457,,30.0,,,,,30.0,,,,,,,,,
920458,,16.7,,,,6.9,16.7,,27.3,12.5,,12.0,,,11.1,
920459,,63.4,,55.2,,,63.4,,81.3,,,52.0,,,,
920460,,50.8,,57.1,,55.6,50.8,,59.3,47.4,,43.8,,,,
920464,,64.8,,90.0,,64.8,64.8,,65.9,61.8,,63.9,,,57.9,
920466,,23.2,,,,21.1,23.2,,24.6,22.0,,22.0,,,6.1,
920467,,43.2,,66.7,,40.0,43.2,,42.1,25.0,,44.4,,,,
920468,,62.5,,,80.0,68.0,62.5,,66.7,40.0,,60.0,,,,
920469,,50.0,,,,,50.0,,,,,,,,,
920470,,59.0,,,,53.3,59.0,,66.7,55.9,,46.7,,,,
920471,,33.3,,,,6.7,33.3,,,9.1,,33.3,,,,
920472,,28.6,,,,26.3,28.6,,36.4,26.3,,20.0,,,,
920473,,27.8,,57.1,,21.7,27.8,,32.5,19.6,,23.1,,,5.6,
920474,,40.4,,,,42.5,40.4,,43.5,41.3,,37.9,,,,
920476,,50.7,,,,49.2,50.7,,48.6,52.5,,53.1,,,,
920480,,50.7,,,,50.9,50.7,,50.0,53.2,,51.3,,,76.9,
920484,,31.0,,,,13.6,31.0,,,15.0,,35.0,,,7.1,
920488,,44.7,,,,42.9,44.7,,45.8,42.9,,42.9,,,,
920492,,22.7,,,,20.5,22.7,,18.2,13.3,,27.3,,,5.0,
920494,,50.9,,,,47.4,50.9,,60.0,46.7,,47.5,,,33.3,
920495,,22.3,,,,23.8,22.3,,27.7,19.1,,17.9,,,17.5,45.5
920496,,55.3,,,,50.7,55.3,,66.7,54.2,,47.8,,,27.3,
920500,,25.6,,30.0,,26.1,25.6,,25.4,23.7,,25.8,,,10.5,27.3
920501,,47.4,,70.0,,52.9,47.4,,57.1,42.9,,35.3,,,,
920502,,51.9,,60.0,,,51.9,,53.8,,,50.0,,,,
920504,,55.2,,57.8,,,55.2,,56.0,,,54.5,,,,
920506,,30.0,,,,,30.0,,,,,,,,,
920512,,25.9,,,,21.4,25.9,,28.6,20.8,,24.2,,,9.5,
920514,,61.9,,,,61.3,61.9,,61.1,53.1,,62.5,,,,
920516,,52.9,,58.3,61.5,50.8,52.9,,50.0,47.2,,55.0,,,40.0,
920520,,71.2,,87.0,,64.1,71.2,,78.0,64.5,,60.0,,,58.3,
920521,,68.4,,,,64.3,68.4,,,71.4,,75.0,,,,
920522,,55.6,,,,51.0,55.6,,71.0,53.1,,40.6,,,27.8,
920523,,57.1,,,,66.7,57.1,,,90.0,,53.3,,,,
920525,,52.4,,,,55.6,52.4,,57.1,50.0,,,,,,
920526,,51.6,,62.5,,41.7,51.6,,,27.3,,50.0,,,,
920529,,52.9,,,,45.5,52.9,,,41.7,,60.0,,,,
920530,,45.0,,,,47.2,45.0,,66.7,43.3,,21.1,,,33.3,
920532,,53.7,,,,53.7,53.7,,53.8,53.7,,53.3,,,,
920533,,64.8,,,,65.0,64.8,,68.0,66.7,,62.1,,,,
920536,,57.9,,,,53.3,57.9,,,53.3,,50.0,,,,
920540,,40.0,,,,45.2,40.0,,42.1,37.5,,38.1,,,,
920542,,70.5,,84.6,,67.9,70.5,,74.5,67.6,,66.7,,,54.5,70.6
920543,,50.0,,,,44.4,50.0,,27.3,50.0,,69.2,,,,
920544,,35.0,,,,37.9,35.0,,18.2,33.3,,41.4,,,30.0,
920545,,20.0,,,,17.6,20.0,,38.5,14.3,,5.0,,,9.1,
920546,,28.5,,63.6,14.3,27.9,28.5,,34.4,21.0,,23.8,,,15.6,50.0
920547,,52.8,,30.0,,53.8,52.8,,64.3,54.4,,44.0,,,50.0,
920549,,14.0,,,,14.9,14.0,,9.1,11.3,,17.0,,,5.0,
920550,,60.0,,,,59.1,60.0,,65.7,58.1,,55.6,,,42.9,
920551,,33.9,,40.0,,30.0,33.9,,32.4,31.6,,36.4,,,31.8,
920552,,43.4,,56.3,51.0,42.5,43.4,,46.9,34.3,,40.9,,,34.8,52.9
920554,,58.5,,,,57.6,58.5,,47.6,54.3,,70.0,,,45.5,
920557,,80.0,,,,,80.0,,,,,,,,,
920560,,43.9,,,,43.5,43.9,,45.1,41.7,,42.9,,,28.6,
920562,,14.7,,,,16.5,14.7,,20.9,14.1,,10.6,,,18.5,
920564,,51.3,,,,52.4,51.3,,52.6,46.4,,50.0,,,,
920568,,59.5,,,,51.6,59.5,,65.0,46.2,,54.5,,,,
920569,,57.7,,,,57.1,57.7,,,47.1,,58.8,,,,
920570,,42.9,,,,42.2,42.9,,42.9,43.9,,42.9,,,,
