agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
400308,N,N,Y,Y
400312,N,N,Y,Y
400315,N,N,N,N
400318,N,N,Y,Y
400321,N,N,Y,Y
400332,N,N,Y,Y
410304,N,N,N,N
410307,N,N,Y,Y
410310,N,N,Y,Y
410311,N,N,Y,Y
410313,N,N,Y,Y
410316,N,N,Y,Y
410319,N,N,N,N
410322,N,N,Y,Y
410325,N,N,Y,Y
410326,N,N,N,N
410328,Y,N,N,N
410331,N,N,Y,Y
410334,N,N,Y,Y
410337,N,N,Y,N
410340,N,N,Y,Y
410341,N,N,N,N
410343,N,N,N,N
410346,N,N,N,N
410349,N,N,Y,Y
410355,N,N,Y,Y
410358,N,N,Y,Y
410361,N,N,N,N
410364,Y,N,N,N
410366,Y,N,N,N
410367,N,N,Y,Y
410370,N,N,Y,Y
410373,N,N,Y,Y
410376,N,N,Y,Y
410379,N,N,Y,Y
410382,N,N,Y,Y
410385,N,N,Y,Y
410388,N,N,Y,Y
410390,N,N,N,N
410391,N,N,Y,Y
410394,N,N,Y,Y
410395,N,N,N,N
410397,N,N,Y,Y
410398,Y,N,N,N
410399,N,N,N,N
410400,N,N,Y,N
410401,N,N,N,N
410402,Y,N,N,N
410403,Y,N,N,N
410406,N,N,N,N
410407,N,N,N,N
410408,N,N,N,N
410409,N,N,Y,Y
410412,N,N,Y,Y
410415,Y,N,N,N
410418,N,N,Y,Y
410421,N,N,Y,Y
410423,N,N,N,N
410424,N,N,Y,N
410427,N,N,Y,Y
410430,N,N,Y,Y
410436,N,N,Y,Y
410437,N,N,Y,Y
410439,N,N,Y,Y
410442,N,N,Y,Y
410448,N,N,Y,Y
410451,N,N,Y,N
410454,N,N,Y,Y
410457,N,N,Y,Y
410458,N,N,Y,Y
410460,N,N,Y,Y
410461,N,N,Y,Y
410462,N,N,Y,Y
410463,N,N,Y,Y
410464,N,N,Y,Y
410466,N,N,N,N
410469,N,N,Y,Y
410472,N,N,N,N
410478,N,N,N,N
410481,N,N,Y,Y
410483,N,N,N,N
410484,N,N,Y,Y
410486,N,N,N,N
410487,N,N,Y,Y
410488,N,N,Y,Y
410489,N,N,N,N
410490,N,N,N,N
410491,N,N,N,N
410493,N,N,N,N
410496,N,N,Y,Y
410499,N,N,Y,Y
410502,N,N,N,N
410505,N,N,Y,Y
410508,N,N,N,N
410511,N,N,N,N
410514,N,N,Y,Y
410517,N,N,Y,Y
410522,N,N,Y,Y
410523,N,N,Y,Y
410529,N,N,Y,Y
410530,N,N,Y,Y
410532,N,N,Y,Y
410533,N,N,Y,Y
410534,N,N,N,N
410535,N,N,Y,Y
410538,N,N,Y,Y
410541,N,N,Y,Y
410542,N,N,Y,Y
410544,N,N,Y,N
410545,N,N,N,N
410547,N,N,N,N
410550,N,N,Y,Y
410553,N,N,N,N
410556,N,N,Y,Y
410559,N,N,N,N
410562,N,N,N,N
410565,N,N,Y,Y
410568,N,N,N,N
410569,N,N,N,N
410571,N,N,N,N
410574,N,N,N,N
410577,N,N,Y,Y
410578,N,N,Y,Y
410579,N,N,N,N
410580,N,N,Y,Y
410583,Y,N,N,N
410586,N,N,Y,Y
410589,N,N,N,N
410592,Y,N,N,N
410595,N,N,Y,Y
410598,N,N,Y,Y
41B000,N,N,Y,N
41C000,N,N,Y,Y
41D000,N,N,N,N
41F000,N,N,Y,Y
41G000,N,N,N,N
41H000,N,N,Y,Y
41J000,N,N,N,N
41K000,N,N,Y,Y
41L000,N,N,Y,Y
420304,N,N,Y,Y
420316,N,N,Y,N
420324,Y,N,N,N
420328,N,N,Y,Y
420336,N,N,N,N
420340,N,N,Y,Y
420346,N,N,Y,Y
420348,N,N,N,N
420358,N,N,N,N
420376,N,N,Y,Y
421304,N,N,Y,Y
421306,N,N,Y,Y
421316,N,N,Y,N
