digital_media,year,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
-,2019,390314,A,Yes,6:7:8:9:10:11:12,No,-,No,-,,8,1.0,,0.75
1,2019,390316,E,No,-,No,-,No,-,41.24,40,1.21,1999.0,0.69
0,2019,390320,M,Yes,6:07:08,Yes,6:07:08,No,-,10.13,60,1.28,2002.0,0.96
-,2019,390321,A,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,,20,2.22,,0.83
1,2019,390322,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,12.43,117,2.39,2004.0,0.75
-,2019,390323,H,Yes,9:11:12:13,Yes,9:10:11:12:13,No,-,,14,1.75,,0.93
1,2019,390324,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,29.78,82,1.82,1992.0,0.49
0,2019,390331,M,Yes,6:07:08,No,-,No,-,21.36,41,2.56,1999.0,0.48
1,2019,390333,E,No,-,No,-,No,-,43.73,37,0.95,2000.0,0.84
0,2019,390334,M,Yes,6:07:08,No,-,No,-,27.98,65,1.44,1996.0,0.86
0,2019,390336,E,Yes,PK:K:1:2:3:4:5,No,-,No,-,7.16,27,1.42,1999.0,0.44
1,2019,390352,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,13.83,93,1.58,1995.0,0.74
0,2019,390360,E,Yes,3:04:05,No,-,No,-,39.07,39,1.34,1999.0,0.83
1,2019,390362,E,No,-,No,-,No,-,19.07,45,1.29,2005.0,0.53
0,2019,390364,E,No,-,No,-,No,-,29.83,47,1.27,1998.0,0.77
0,2019,390368,E,No,-,No,-,No,-,36.32,36,1.33,1998.0,1
-,2019,390700,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,,14,1.27,,1.1
0,2019,39A000,A,No,-,Yes,9:10,Yes,9:10:11:12,8.49,87,1.07,2002.0,2.77
-,2019,39B000,T,No,-,No,-,No,-,,35,1.3,,3.62
5,2019,400308,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,35.06,74,1.3,1999.0,0.76
1,2019,400312,M,Yes,6:07:08,Yes,6:07:08,No,-,27.43,70,1.49,2002.0,0.76
-,2019,400315,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,No,-,,6,0.4,,0.88
0,2019,400318,E,No,-,No,-,No,-,31.14,48,1.17,2001.0,0.93
1,2019,400321,E,No,-,No,-,No,-,31.77,39,1.0,2002.0,0.98
