year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only,global_language
2019,920518,0.0,2.0,4.0,0.0,1.0
2019,920526,0.0,227.0,303.0,5.0,116.0
2019,920528,0.0,0.0,3.0,0.0,
2019,920546,0.0,111.0,320.0,17.0,23.0
2019,920552,0.0,72.0,245.0,8.0,24.0
2019,920556,0.0,1.0,9.0,3.0,2.0
2019,920562,0.0,46.0,146.0,4.0,9.0
2019,920581,0.0,22.0,40.0,1.0,5.0
2019,920582,0.0,0.0,28.0,1.0,
2019,920583,0.0,0.0,3.0,2.0,
2019,920588,0.0,90.0,348.0,16.0,90.0
2019,920595,0.0,79.0,305.0,5.0,53.0
2019,92F000,0.0,4.0,97.0,0.0,46.0
2019,92G000,0.0,0.0,67.0,0.0,2.0
2019,92K000,,,,,67.0
2019,92P000,0.0,1.0,31.0,7.0,
2019,92T000,0.0,0.0,37.0,0.0,2.0
2019,92U000,0.0,0.0,35.0,0.0,1.0
2019,930352,0.0,14.0,34.0,0.0,
2019,940316,0.0,16.0,32.0,0.0,
2019,950336,0.0,34.0,146.0,14.0,33.0
2019,950338,2.0,28.0,17.0,7.0,1.0
2019,960324,0.0,88.0,105.0,17.0,2.0
2019,960330,0.0,53.0,109.0,7.0,1.0
2019,960335,0.0,8.0,36.0,6.0,2.0
2019,960372,0.0,48.0,31.0,7.0,1.0
2019,960380,8.0,52.0,69.0,15.0,
2019,960386,0.0,37.0,25.0,6.0,
2019,960700,0.0,6.0,23.0,0.0,
2019,970320,0.0,54.0,43.0,4.0,6.0
2019,970356,6.0,37.0,32.0,13.0,2.0
2019,970388,7.0,70.0,37.0,24.0,
2019,970390,2.0,57.0,70.0,13.0,27.0
2019,970393,0.0,2.0,31.0,2.0,8.0
2019,980318,0.0,16.0,53.0,8.0,11.0
2019,980336,0.0,45.0,147.0,8.0,14.0
2019,980342,0.0,36.0,137.0,21.0,5.0
2019,980398,0.0,0.0,54.0,5.0,
2019,990322,15.0,72.0,52.0,16.0,
2019,990326,0.0,31.0,65.0,19.0,4.0
2019,990332,0.0,0.0,33.0,0.0,
2019,995330,0.0,77.0,96.0,30.0,5.0
