agency_code,pct_rating_P1_Accomplished,pct_rating_P1_Developing,pct_rating_P1_Distinguished,pct_rating_P1_NotDemostrated,pct_rating_P1_Proficient,pct_rating_P2_Accomplished,pct_rating_P2_Developing,pct_rating_P2_Distinguished,pct_rating_P2_NotDemostrated,pct_rating_P2_Proficient,pct_rating_P3_Accomplished,pct_rating_P3_Developing,pct_rating_P3_Distinguished,pct_rating_P3_NotDemostrated,pct_rating_P3_Proficient,pct_rating_P4_Accomplished,pct_rating_P4_Developing,pct_rating_P4_Distinguished,pct_rating_P4_NotDemostrated,pct_rating_P4_Proficient,pct_rating_P5_Accomplished,pct_rating_P5_Developing,pct_rating_P5_Distinguished,pct_rating_P5_NotDemostrated,pct_rating_P5_Proficient,pct_rating_P6_Accomplished,pct_rating_P6_Developing,pct_rating_P6_Distinguished,pct_rating_P6_NotDemostrated,pct_rating_P6_Proficient,pct_rating_P7_Accomplished,pct_rating_P7_Developing,pct_rating_P7_Distinguished,pct_rating_P7_NotDemostrated,pct_rating_P7_Proficient,pct_rating_PS_DoesNotMeetExpectedGrowth,pct_rating_PS_ExceedsExpectedGrowth,pct_rating_PS_MeetsExpectedGrowth,pct_rating_T1_Accomplished,pct_rating_T1_Developing,pct_rating_T1_Distinguished,pct_rating_T1_NotDemostrated,pct_rating_T1_Proficient,pct_rating_T2_Accomplished,pct_rating_T2_Developing,pct_rating_T2_Distinguished,pct_rating_T2_NotDemostrated,pct_rating_T2_Proficient,pct_rating_T3_Accomplished,pct_rating_T3_Developing,pct_rating_T3_Distinguished,pct_rating_T3_NotDemostrated,pct_rating_T3_Proficient,pct_rating_T4_Accomplished,pct_rating_T4_Developing,pct_rating_T4_Distinguished,pct_rating_T4_NotDemostrated,pct_rating_T4_Proficient,pct_rating_T5_Accomplished,pct_rating_T5_Developing,pct_rating_T5_Distinguished,pct_rating_T5_NotDemostrated,pct_rating_T5_Proficient,pct_rating_TS_DoesNotMeetExpectedGrowth,pct_rating_TS_ExceedsExpectedGrowth,pct_rating_TS_MeetsExpectedGrowth
090320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5379999999999999,,0.385,,0.077,0.667,,0.222,,0.111,0.667,,0.222,,0.111,0.769,,0.154,,0.077,0.667,,0.222,,0.111,0.2,,0.8
090324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647,,,,0.353,0.1,,,,0.9,0.1,,,,0.9,0.412,,,,0.588,0.3,,,,0.7,0.077,,0.923
090328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5710000000000001,0.071,0.14300000000000002,,0.214,0.545,0.091,0.091,,0.273,0.455,0.091,0.091,,0.364,0.643,0.071,0.14300000000000002,,0.14300000000000002,0.455,0.091,0.091,,0.364,0.222,,0.778
090330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.405,,0.324,0.579,,0.158,,0.263,0.211,,0.474,,0.316,0.514,,0.21600000000000005,,0.27,0.316,,0.263,,0.421,0.24,0.2,0.56
090332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.16,,0.28,0.611,,0.16699999999999998,,0.222,0.5,,0.056,,0.444,0.72,,0.08,,0.2,0.5,,0.16699999999999998,,0.333,0.313,0.25,0.438
090333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,0.056,,0.722,0.087,,,,0.913,0.304,,,,0.696,0.361,,0.028,,0.611,0.217,,,,0.7829999999999999,0.16699999999999998,0.125,0.708
090352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417,,0.16699999999999998,,0.417,0.429,,,,0.5710000000000001,0.5710000000000001,,,,0.429,0.75,,,,0.25,0.28600000000000003,,,,0.7140000000000001,0.125,,0.875
090365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5329999999999999,0.067,,,0.4,0.455,0.091,,,0.455,0.455,0.091,0.091,,0.364,0.6,0.067,,,0.333,0.455,0.091,,,0.455,0.3,,0.7
090368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.023,0.091,,0.386,0.3670000000000001,0.033,0.133,,0.467,0.433,0.067,0.067,,0.433,0.568,0.045,0.068,,0.318,0.3670000000000001,0.067,0.133,,0.433,0.355,0.226,0.419
090LEA,0.5379999999999999,,,,0.462,0.462,,,,0.5379999999999999,0.6920000000000001,,,,0.308,0.462,,,,0.5379999999999999,0.462,,,,0.5379999999999999,0.154,,,,0.846,0.231,,,,0.769,0.462,,0.5379999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
