agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
180379,18.0,,,1.0,3.0,8.0,4.0,10.0,2.0,,0.0,11.0
180380,18.0,,1.0,1.0,2.0,10.0,2.0,8.0,2.0,,0.0,12.0
180388,16.0,,1.0,,9.0,7.0,9.0,9.0,,,2.0,6.0
180LEA,194.0,,15.0,11.0,29.0,99.0,40.0,95.0,17.0,,4.0,111.0
181336,26.0,,,5.0,0.0,10.0,9.0,16.0,,,0.0,12.0
181342,28.0,,1.0,1.0,0.0,13.0,15.0,15.0,2.0,,0.0,9.0
181344,16.0,,1.0,3.0,0.0,7.0,8.0,9.0,1.0,,0.0,3.0
181LEA,70.0,,2.0,9.0,0.0,30.0,32.0,40.0,3.0,,0.0,24.0
182304,3.0,,,,0.0,2.0,1.0,1.0,,,0.0,2.0
182322,14.0,,,1.0,0.0,8.0,6.0,6.0,,,0.0,7.0
182324,17.0,,1.0,2.0,0.0,11.0,5.0,6.0,2.0,,0.0,7.0
182328,18.0,,,2.0,0.0,9.0,10.0,9.0,1.0,,0.0,5.0
182LEA,52.0,,1.0,5.0,0.0,30.0,22.0,22.0,3.0,,0.0,21.0
190304,20.0,,,,0.0,9.0,2.0,11.0,,,0.0,18.0
190340,16.0,,,2.0,0.0,10.0,3.0,6.0,3.0,,0.0,8.0
190341,50.0,,,8.0,0.0,20.0,17.0,30.0,1.0,,0.0,24.0
190346,37.0,,3.0,3.0,0.0,16.0,7.0,21.0,3.0,,0.0,21.0
190348,21.0,,2.0,3.0,0.0,13.0,5.0,8.0,1.0,,0.0,10.0
190350,54.0,,,9.0,0.0,24.0,37.0,30.0,1.0,,0.0,7.0
190370,45.0,1.0,,7.0,0.0,24.0,26.0,21.0,2.0,,0.0,9.0
