agency_code,pct_enrolled_AM7_CHARTER,pct_enrolled_AS7_CHARTER,pct_enrolled_BL7_CHARTER,pct_enrolled_EDS_CHARTER,pct_enrolled_ELS_CHARTER,pct_enrolled_HI7_CHARTER,pct_enrolled_MU7_CHARTER,pct_enrolled_PI7_CHARTER,pct_enrolled_SWD_CHARTER,pct_enrolled_WH7_CHARTER
870000,22.1,5.0,5.0,47.5,5.0,5.3,5.8,5.0,15.6,65.4
87A000,5.2,5.0,5.0,5.0,5.0,5.0,6.4,5.0,13.9,85.0
880000,5.0,5.0,5.0,51.1,5.0,7.9,5.8,5.0,14.3,80.9
88A000,5.0,5.0,5.0,5.0,5.0,5.2,5.0,5.0,10.2,89.2
900000,5.0,5.0,12.7,27.2,6.1,18.1,5.0,5.0,10.3,61.6
90A000,5.0,5.0,7.7,5.0,5.0,12.5,5.0,5.0,8.5,74.2
90B000,5.0,16.2,6.4,5.0,5.0,6.4,5.0,5.0,5.0,66.3
90C000,5.0,5.0,21.5,28.3,5.0,18.4,7.2,5.0,8.4,50.9
910000,5.0,5.0,64.4,62.4,6.6,14.3,5.0,5.0,11.6,16.8
91A000,5.0,5.0,9.1,5.0,5.0,5.0,5.0,5.0,9.3,82.3
91B000,5.0,5.0,69.3,40.5,5.0,21.8,5.0,5.0,5.0,5.0
920000,5.0,9.2,22.5,30.8,8.0,17.5,5.0,5.0,11.3,46.7
92B000,5.0,5.0,6.7,5.0,5.0,5.0,5.0,5.0,10.0,81.1
92D000,5.0,6.6,5.0,5.0,5.0,5.0,5.0,5.0,9.6,81.6
92E000,5.0,40.9,7.9,5.0,5.0,5.0,5.0,5.0,8.2,43.6
92F000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.2,83.6
92G000,5.0,5.0,7.7,5.0,5.0,6.9,5.0,5.0,8.7,81.1
92K000,5.0,23.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,63.5
92L000,5.0,5.0,57.8,49.6,21.2,39.1,5.0,5.0,6.3,5.0
92M000,5.0,5.0,72.6,72.6,10.1,19.6,5.0,5.0,13.9,5.0
92N000,5.0,5.0,5.0,5.0,5.0,5.0,8.7,5.0,15.2,80.4
92P000,5.0,5.0,5.6,5.0,5.0,6.0,5.0,5.0,22.5,81.4
92Q000,5.0,5.0,94.7,64.9,5.0,5.0,5.0,5.0,10.5,5.0
92R000,5.0,5.3,16.5,5.0,7.2,35.9,5.0,5.0,6.6,39.5
92S000,5.0,5.0,5.1,5.0,5.0,5.0,5.0,5.0,9.6,83.7
92T000,5.0,36.9,16.4,5.0,5.0,5.0,8.1,5.0,7.1,33.7
92U000,5.0,5.0,18.7,5.0,5.0,10.3,8.7,5.0,12.6,61.6
92V000,5.0,5.0,11.5,14.1,5.0,9.5,5.0,5.0,5.0,73.0
92W000,5.0,19.9,16.4,12.8,5.0,8.4,8.0,5.0,9.5,46.3
92Y000,5.0,5.0,17.4,5.0,5.0,7.7,5.6,5.0,10.6,65.9
930000,7.4,5.0,65.1,54.0,5.0,8.1,5.0,5.0,16.1,15.5
93A000,73.9,5.0,12.7,57.7,5.0,5.0,7.0,5.0,18.3,5.0
93J000,5.0,5.0,63.5,27.2,15.3,26.9,5.0,5.0,5.0,5.0
93L000,5.0,5.0,58.6,16.7,5.0,24.7,5.6,5.0,25.9,11.1
93M000,5.0,21.5,9.5,11.7,12.8,9.1,5.0,5.0,5.0,57.4
93N000,5.0,5.0,5.0,5.0,5.0,6.6,9.1,5.0,5.8,76.1
94Z000,5.0,5.0,16.4,24.7,5.0,10.5,5.5,5.0,5.0,66.7
950000,5.0,5.0,5.0,34.8,5.0,9.4,5.0,5.0,18.5,84.6
95A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.5,95.0
960000,5.0,5.0,35.5,46.4,10.0,22.8,5.0,5.0,13.1,36.5
96C000,5.0,5.0,92.0,90.5,5.0,5.0,5.0,5.0,13.7,5.0
96F000,5.0,5.0,23.8,5.0,5.0,5.5,9.3,5.0,5.7,60.4
970000,5.0,5.0,5.0,41.1,5.0,14.9,5.0,5.0,13.0,75.7
97D000,5.0,5.0,8.4,25.7,5.0,5.0,5.0,5.0,26.9,86.2
980000,5.0,5.0,44.3,49.1,6.2,20.5,5.0,5.0,7.2,30.5
98A000,5.0,5.0,57.5,55.9,17.0,37.8,5.0,5.0,8.7,5.0
98B000,5.0,5.0,37.3,35.8,5.0,8.2,5.5,5.0,5.0,46.4
