agency_code,stu_enroll,cte_enroll,cte_enrollment_pct
890304,172,127,73.84
900308,900,710,78.89
900310,1245,1051,84.42
900311,1630,1210,74.23
900314,917,476,51.91
900316,961,767,79.81
900336,1190,901,75.71
900342,1737,1305,75.13
900343,1285,998,77.67
900344,1233,942,76.4
900346,972,942,96.91
900348,1369,995,72.68
900350,1010,517,51.19
900360,1559,1111,71.26
900362,1274,1262,99.06
900365,233,92,39.48
900366,857,738,86.11
900367,377,72,19.1
900377,1310,851,64.96
900378,1088,1063,97.7
900391,1201,1181,98.33
900393,1698,1054,62.07
90A000,884,30,3.39
910316,500,325,65.0
910320,365,294,80.55
910364,608,510,83.88
910368,191,83,43.46
910370,634,488,76.97
910382,198,82,41.41
91A000,367,60,16.35
91B000,550,18,3.27
920312,1264,785,62.1
920316,2010,1421,70.7
920317,2245,1453,64.72
920318,2100,1313,62.52
920324,56,46,82.14
920348,2094,1412,67.43
920356,958,603,62.94
920360,1040,792,76.15
920368,2363,1589,67.25
920370,489,421,86.09
920386,98,39,39.8
920388,1148,805,70.12
920391,1400,825,58.93
920394,1131,734,64.9
920399,975,566,58.05
920400,951,452,47.53
920402,917,536,58.45
920404,1330,1011,76.02
920408,800,562,70.25
920410,651,542,83.26
920411,1355,1021,75.35
920412,2444,1496,61.21
920424,926,549,59.29
920428,2146,1455,67.8
920436,2670,1937,72.55
920438,80,43,53.75
920441,2886,1808,62.65
920442,201,132,65.67
920444,1266,841,66.43
920445,1891,1316,69.59
920450,1311,869,66.29
920455,2029,1242,61.21
920458,1703,1017,59.72
920466,1783,1064,59.67
920471,950,479,50.42
920472,955,511,53.51
920473,2543,1394,54.82
920484,1134,707,62.35
920492,1014,659,64.99
920495,2343,1389,59.28
920500,2336,1533,65.63
920502,1732,1095,63.22
920506,533,399,74.86
920508,94,94,100.0
920512,858,688,80.19
920518,124,122,98.39
920526,2780,1907,68.6
920528,114,70,61.4
920529,913,664,72.73
920545,1125,768,68.27
920546,2145,1481,69.04
920549,1023,631,61.68
920551,1126,665,59.06
920552,1930,1249,64.72
920556,395,68,17.22
920562,1466,1051,71.69
920581,351,341,97.15
920582,247,149,60.32
920583,320,118,36.88
920585,249,150,60.24
920586,297,151,50.84
920588,2133,1294,60.67
920592,1216,713,58.63
920594,963,678,70.4
920595,1885,1281,67.96
920601,871,525,60.28
920604,1044,428,41.0
920607,1234,771,62.48
920608,818,506,61.86
920636,635,528,83.15
92F000,882,111,12.59
92G000,638,76,11.91
92P000,615,297,48.29
92T000,403,128,31.76
930340,86,86,100.0
930352,399,340,85.21
930354,363,277,76.31
930360,103,66,64.08
930700,133,22,16.54
93A000,86,53,61.63
940308,138,102,73.91
940316,314,274,87.26
940328,242,206,85.12
940330,31,26,83.87
94Z000,236,222,94.07
950308,50,50,100.0
950312,121,108,89.26
950316,75,71,94.67
950320,143,85,59.44
950322,289,236,81.66
950324,56,56,100.0
950328,151,69,45.7
950332,133,125,93.98
950336,1102,691,62.7
950338,299,279,93.31
960312,358,189,52.79
960324,1231,917,74.49
960326,317,269,84.86
960330,1045,720,68.9
960331,546,388,71.06
960335,536,329,61.38
960338,298,223,74.83
960340,352,156,44.32
960348,297,213,71.72
960360,889,513,57.71
960372,504,361,71.63
960374,342,217,63.45
960380,1072,798,74.44
960386,666,530,79.58
960387,492,313,63.62
960488,168,29,17.26
960490,246,84,34.15
960700,457,291,63.68
970315,625,423,67.68
970320,497,414,83.3
970322,411,409,99.51
970356,651,558,85.71
970358,526,516,98.1
970388,696,597,85.78
970389,546,527,96.52
970390,901,689,76.47
970393,235,57,24.26
980306,90,53,58.89
980317,304,294,96.71
980318,801,604,75.41
980324,412,409,99.27
980336,1215,885,72.84
980338,478,426,89.12
980342,1275,983,77.1
980380,358,344,96.09
980384,484,463,95.66
980390,414,396,95.65
980397,90,90,100.0
980398,305,111,36.39
98B000,324,52,16.05
990321,471,178,37.79
990322,821,703,85.63
990325,329,319,96.96
990326,572,505,88.29
990332,211,97,45.97
990340,49,20,40.82
995316,237,205,86.5
995324,284,91,32.04
995330,685,509,74.31
997121,4,3,75.0
997208,41,12,29.27
997213,27,2,7.41
997215,14,1,7.14
997216,20,1,5.0
998702,42,12,28.57
998703,34,22,64.71
998706,129,9,6.98
998719,37,1,2.7
