agency_code,avg_class_teach_TeacherExp,pct_adv_degree_PrincipalExp,pct_adv_degree_TeacherExp,pct_experience_0_PrincipalExp,pct_experience_0_TeacherExp,pct_experience_10_PrincipalExp,pct_experience_10_TeacherExp,pct_experience_4_PrincipalExp,pct_experience_4_TeacherExp,pct_turnover_PrincipalExp,pct_turnover_TeacherExp,total_class_teach_TeacherExp
210306,31.0,,0.161,,0.194,,0.5479999999999999,,0.258,,0.138,101345.0
210312,42.0,,0.214,,0.119,,0.5,,0.381,,0.209,101345.0
210316,33.0,,0.182,,0.091,,0.667,,0.242,,0.0,101345.0
210LEA,35.666666666666664,,0.19933333333333333,0.5,0.127,0.25,0.592,0.25,0.28099999999999997,0.0,0.11166666666666668,101345.0
220308,36.0,,0.306,,0.056,,0.528,,0.417,,0.028,101345.0
220310,32.0,,0.406,,0.094,,0.7809999999999999,,0.125,,0.129,101345.0
220312,27.0,,0.481,,0.14800000000000002,,0.556,,0.29600000000000004,,0.107,101345.0
220LEA,31.666666666666668,0.333,0.39766666666666667,0.333,0.09933333333333334,0.6670000000000001,0.6216666666666667,0.0,0.2793333333333334,0.0,0.08800000000000001,101345.0
230304,32.0,,0.219,,0.063,,0.6559999999999999,,0.281,,0.109,101345.0
230308,37.0,,0.324,,0.0,,0.649,,0.35100000000000003,,0.028,101345.0
230312,71.0,,0.254,,0.127,,0.5770000000000001,,0.29600000000000004,,0.081,101345.0
230316,54.0,,0.259,,0.111,,0.63,,0.259,,0.107,101345.0
230320,20.0,,0.35,,0.0,,0.762,,0.238,,0.0,101345.0
230322,11.0,,0.455,,0.182,,0.545,,0.273,,0.0,101345.0
230324,72.0,,0.194,,0.056,,0.597,,0.34700000000000003,,0.151,101345.0
230328,58.0,,0.28800000000000003,,0.085,,0.627,,0.28800000000000003,,0.067,101345.0
230330,18.0,,0.389,,0.056,,0.556,,0.389,,0.14300000000000002,101345.0
230334,18.0,,0.16699999999999998,,0.111,,0.5,,0.389,,0.055,101345.0
230336,30.0,,0.161,,0.267,,0.633,,0.1,,0.213,101345.0
230340,37.0,,0.324,,0.108,,0.703,,0.189,,0.081,101345.0
230342,24.0,,0.083,,0.292,,0.458,,0.25,,0.086,101345.0
230344,24.0,,0.25,,0.16699999999999998,,0.583,,0.25,,0.09,101345.0
230346,26.0,,0.231,,0.269,,0.5,,0.231,,0.02,101345.0
230348,28.0,,0.179,,0.179,,0.5710000000000001,,0.25,,0.199,101345.0
230350,77.0,,0.234,,0.104,,0.649,,0.247,,0.085,101345.0
230351,39.0,,0.128,,0.256,,0.513,,0.231,,0.122,101345.0
230352,41.0,,0.171,,0.146,,0.659,,0.195,,0.07,101345.0
230355,26.0,,0.222,,0.231,,0.5379999999999999,,0.231,,0.111,101345.0
230357,21.0,,0.095,,0.095,,0.524,,0.381,,0.024,101345.0
230359,13.0,,0.231,,0.385,,0.385,,0.231,,0.179,101345.0
230361,58.0,,0.172,,0.052000000000000005,,0.655,,0.293,,0.084,101345.0
230362,34.0,,0.059,,0.371,,0.429,,0.2,,0.193,101345.0
230364,36.0,,0.306,,0.028,,0.861,,0.111,,0.0,101345.0
230368,45.0,,0.133,,0.2,,0.556,,0.244,,0.069,101345.0
230370,29.0,,0.345,,0.034,,0.7240000000000001,,0.241,,0.034,101345.0
230376,30.0,,0.226,,0.29,,0.387,,0.32299999999999995,,0.105,101345.0
230380,21.0,,0.14300000000000002,,0.28600000000000003,,0.381,,0.333,,0.049,101345.0
230LEA,32.0,0.379,0.2538,0.517,0.17200000000000001,0.0,0.5484,0.483,0.28,0.069,0.1226,101345.0
23A000,49.0,,,,,,,,,,,101345.0
240304,10.0,,0.364,,0.5,,0.4,,0.1,,0.556,101345.0
240308,24.0,,0.13,,0.13,,0.478,,0.391,,0.231,101345.0
240328,22.0,,0.045,,0.136,,0.591,,0.273,,0.102,101345.0
240330,10.0,,0.3,,0.2,,0.7,,0.1,,0.111,101345.0
240332,20.0,,0.0,,0.158,,0.579,,0.263,,0.238,101345.0
240334,31.0,,0.161,,0.32299999999999995,,0.387,,0.29,,0.246,101345.0
240344,17.0,,0.17600000000000002,,0.294,,0.412,,0.294,,0.18,101345.0
240352,11.0,,0.364,,0.083,,0.667,,0.25,,0.1,101345.0
240354,21.0,,0.333,,0.14300000000000002,,0.5710000000000001,,0.28600000000000003,,0.213,101345.0
240356,13.0,,0.14300000000000002,,0.35700000000000004,,0.5710000000000001,,0.071,,0.226,101345.0
240368,11.0,,0.25,,0.091,,0.818,,0.091,,0.04,101345.0
240370,19.0,,0.263,,0.105,,0.684,,0.211,,0.056,101345.0
240371,46.0,,0.28300000000000003,,0.174,,0.652,,0.174,,0.114,101345.0
240372,29.0,,0.276,,0.214,,0.679,,0.107,,0.172,101345.0
