agency_code,pct_gce_all_RTA,pct_gce_prm_RTA,pct_gce_rpf_RTA,pct_gce_swd_RTA,pct_passed_eog_RTA,pct_passed_laa_RTA,pct_passed_rta_RTA,pct_promoted_RTA,pct_retained_RTA
360492,8.6,,,,42.2,9.5,,63.8,36.2
360504,24.5,,,24.5,45.3,22.6,,92.5,
360510,,,,,68.5,13.0,,94.6,
360520,,,,,38.4,15.2,,66.1,33.9
360LEA,11.1,,,10.2,53.0,17.6,,84.2,15.8
36B000,,,,,76.5,,,86.3,13.7
36C000,18.6,,14.0,,68.6,,,95.0,
370304,,,,,55.9,,,82.4,
370316,,,,,41.5,,,78.0,
370324,,,,,33.3,,,75.6,24.4
370LEA,12.5,,,8.3,42.5,8.3,10.0,78.3,21.7
380306,,,,,58.3,,,75.0,25.0
380LEA,,,,,58.3,,,75.0,25.0
390311,32.5,,25.3,,37.3,,,75.9,24.1
390312,16.9,,,,38.5,,,72.3,27.7
390316,,,,,28.8,,,64.4,35.6
390333,25.4,,,,52.5,,,83.1,16.9
390336,,,,,63.2,,,78.9,
390360,16.7,,,,36.7,,,78.3,21.7
390362,26.1,,14.5,,71.0,,,95.0,
390364,12.5,,12.5,,31.3,,,48.8,51.3
